id,label,sentence,label_des,original_label
49,60,这俩买一送一,买家咨询活动规则,86
50,60,如果我一个小时之后买 就可以参加买三免一吗,买家咨询活动规则,60
51,43,美女，麻烦你帮我改成XⅩL的，一个加的怕小了,买家要求改商品信息,43
52,49,我定单查看地址没改过来啊,买家要求修改收件信息,49
53,102,安排什么了？都多久了？发信息你都不看不理，太不负责任了,买家咨询是否有味道,102
54,85,那我杆子不是要单独拍吗？,买家咨询商品是否可以单买/单卖,85
55,20,你好??能指定邮政快递吗,买家表示物流太慢了,20
56,31,给个回复好吗？全都已读了还不说话,买家打招呼,31
57,1,不负责任，态度问题,买家表达不满/生气,1
58,65,可以定制嘛？,买家咨询能否定制,105
59,86,现在买一送一吧,买家咨询商品是否有赠品,86
60,45,运险费什么时候才能到账呢？,买家要求核对订单信息,45
61,93,那我其他的两件的快递单号是多少呀,买家咨询是否可以发顺丰,93
62,67,发票是和货一起发了吗,买家咨询能否开发票及发票类型和寄送时间,67
63,16,我的地址对了码数也错了,买家表示收件信息不需要修改了,16
64,28,盐城盐陆集散点不是江苏吗？,买家表示再看看,28
65,99,明天会有活动吗,买家咨询是否有活动,99
66,73,从那里发岀的,买家咨询商家发货地,73
67,23,总价开成530,买家表示要重拍,23
68,36,东西不给够，还有跑气的，一共就七个能吃的，晕,买家反馈收到的商品有问题,36
69,15,我还是你们老客户,买家表示是老顾客,15
70,60,双12多少价位,买家咨询活动规则,60
71,78,这个149的和贵的有什么区别？,买家咨询商品的色差问题,78
72,28,支付宝:15187091121,买家表示再看看,28
73,47,我咋加她啊,买家要求添加商家微信,47
74,71,你好，发票可以发我邮箱么,买家咨询如何领取优惠券,71
75,2,弄错了，应该是很满意,买家表达赞美/满意,2
76,105,这个笔还得付运费啊,买家咨询退换货运费由谁承担,105
77,45,你这是啥材质的啊？？,买家要求核对订单信息,45
78,12,你们寄错了,买家表示商家发错货了,12
79,82,发热丝有什么区别？,买家咨询商品区别,82
80,65,支持定做吗？,买家咨询能否定制,65
81,61,你能不能给我发个单号,买家咨询快递单号,61
82,28,我还是想考虑下,买家表示再看看,28
83,102,你这个裤子味道好大呀,买家咨询是否有味道,102
84,85,好吧，我看看,买家咨询商品是否可以单买/单卖,85
85,67,那你帮我开一下发票,买家咨询能否开发票及发票类型和寄送时间,67
86,53,你好现在吗,买家咨询到货时间,53
87,90,这个重量呢？,买家咨询商品重量,90
88,60,你店里购物满一百有没有什么优惠啊？,买家咨询活动规则,60
89,86,赠品也有呗,买家咨询商品是否有赠品,86
90,22,已经退回了哦。麻烦退款,买家表示需要退货退款,22
91,71,可是我领取不了,买家咨询如何领取优惠券,71
92,104,我把这个退了在重新拍这样快,买家咨询退换货规则,104
93,28,那我再看其他的吧,买家表示再看看,28
94,97,能发可以给我发中通快递吗,买家咨询是否可以指定快递,73
95,29,可以尽快发货吗？,买家催促发货,29
96,79,里面有几包啊,买家咨询商品规格数量,79
97,83,双11还上新吗,买家咨询商品上新时间,83
98,82,这款保暖衣质量怎么样,买家咨询商品区别,82
99,90,这个是多少重量的,买家咨询商品重量,90
100,75,那送去双袜子呗 /:809,买家咨询商品包装,75
101,50,那我考虑一下,买家要求延迟发货,50
102,99,这几款有活动吗,买家咨询是否有活动,99
103,79,是28.9元一袋吗，是多少千克？,买家咨询商品规格数量,79
104,110,可是我没有收到钱啊??,买家咨询退款时间,110
105,1,对你们的衣服好失望,买家表达不满/生气,1
106,77,亲是不是棉的，那款是棉的,买家咨询商品的材质/面料,77
107,60,这个买一条送一条吗,买家咨询活动规则,60
108,3,我不懂别嫌我烦 /:^$^,买家表示不想要了,3
109,83,最近还有上新吗,买家咨询商品上新时间,83
110,103,有优惠就先买一条试试,买家咨询退换货地址,103
111,86,有箱子送对吗？,买家咨询商品是否有赠品,86
112,77,我在备孕……谢谢你了,买家咨询商品的材质/面料,77
113,14,你稍等一下，我看看我的尺码呗,买家表示稍等,14
114,104,就是我要是尺码不对的话然后退换货,买家咨询退换货规则,104
115,22,先申请退货？,买家表示需要退货退款,22
116,99,这裤子什么时候有活动呢,买家咨询是否有活动,99
117,86,买3份送勺子嘛,买家咨询商品是否有赠品,86
118,47,亲，你给的那个微信没人通过啊,买家要求添加商家微信,47
119,38,双十一有优惠吗？,买家讨价还价,38
120,100,/:(OK) 物流已经显示签收了,买家咨询是否有买家秀,100
121,3,亲，背心不要了,买家表示不想要了,3
122,1,我收到衣服，意思是不是你们的责任了，我又没毛病！收到新衣弄坏了再找你们麻烦？,买家表达不满/生气,1
123,7,好的，谢谢，,买家表示麻烦卖家，表达感谢,7
124,71,这个套餐是不是赠送接头？,买家咨询如何领取优惠券,71
125,94,就喜欢这个,买家咨询是否可以改价,94
126,60,不是买3发5.买2发3吗？,买家咨询活动规则,60
127,29,嗯呐  现在就下单,买家催促发货,29
128,94,裤子重新拍你们改价是吗,买家咨询是否可以改价,94
129,1,你们搞笑，我问了好多遍了,买家表达不满/生气,1
130,38,价格上在优惠点吧,买家讨价还价,38
131,114,以后都是老顾客,买家咨询运费险赔付规则,114
132,61,那个圆通单号是寄回来的单号吗,买家咨询快递单号,61
133,23,我重拍 地址錯誤,买家表示要重拍,23
134,5,加微信了 没搭理的,买家表示好的,5
135,60,问一下，这个买二送一？,买家咨询活动规则,60
136,47,是不是跟图片上一样的,买家要求添加商家微信,47
137,91,为什么不能用券,买家咨询什么颜色好看,91
138,94,那这个退单您可也帮我在后台改成换货么？,买家咨询是否可以改价,94
139,4,这个地址正确哈,买家表示地址正确,4
140,94,我这边下单，你那边改价？,买家咨询是否可以改价,94
141,74,您好，我刚才查快递我邮寄回去换货的裤子显示签收了，明天能正常帮我寄出了吧,买家咨询商家是否收到寄回的商品,74
142,0,涨价了是吗,买家抱怨商品涨价了,0
143,81,嗯嗯，我比较喜欢宽松点,买家咨询商品具体尺码尺寸,81
144,102,这有味道咋整,买家咨询是否有味道,102
145,59,那什么时候退钱,买家咨询换货发货时间,59
146,15,原来我还是老顾客啊,买家表示是老顾客,15
147,105,请问一下，换货的邮费怎么出呢,买家咨询退换货运费由谁承担,105
148,83,亲啥时候上新款,买家咨询商品上新时间,83
149,43,你好，麻烦帮我把这个改成黑色的吧,买家要求改商品信息,43
150,59,电子发票 发来,买家咨询换货发货时间,59
151,29,亲，为啥还没发货呐，我比赛着急用啊啊啊，麻烦快点发货,买家催促发货,29
152,49,现在下单今天能发货,买家要求修改收件信息,49
153,36,亲，你们的快递已经5天了。居然还没送到！效率有点低吧??,买家反馈收到的商品有问题,36
154,64,快递发到付的,买家咨询能否到付,64
155,31,你这衣服买一送一，怎么付钱,买家打招呼,31
156,95,穿上会不会太重,买家咨询是否可以拒收,95
157,48,没买运费险  退运费吗,买家要求退运费,48
158,69,福州可以发中通嘛,买家咨询偏远地区是否发货,69
159,93,申请退货还是？,买家咨询是否可以发顺丰,93
160,114,那运费险怎么弄呢 /:?,买家咨询运费险赔付规则,114
161,40,纠结买那款，推荐下,买家需要商品推荐,40
162,60,在吗？这个铁观音买2斤送1斤吗,买家咨询活动规则,60
163,86,这个送的是16号？同款还是小样？怎么拍？,买家咨询商品是否有赠品,86
164,1,小艺客服态度非常好 因为客服的态度我才决定买下这条裤子 请奖此客服,买家表达不满/生气,1
165,82,02款和其他有啥区别,买家咨询商品区别,82
166,29,你好，请问怎么撤销退款申请,买家催促发货,29
167,79,那个208克有多少,买家咨询商品规格数量,79
168,90,请问每袋虾净重是多少克,买家咨询商品重量,41
169,37,亲爱的，可以改地址吗,买家确认地址是否修改成功,37
170,49,其它的不用改，就改地址就可以了,买家要求修改收件信息,49
171,60,你们店买三免一是返钱还是付款的时候直接算两个的钱,买家咨询活动规则,60
172,105,退换也给包邮的吗~,买家咨询退换货运费由谁承担,105
173,50,如果是厚点的可以晚点发,买家要求延迟发货,50
174,69,收到的宝贝不合适要退回去,买家咨询偏远地区是否发货,69
175,109,你好，我买大了一点，这个退换货包邮吗,买家咨询退款去向,109
176,32,亲我想修改电话,买家对特定款式/颜色表达喜好,32
177,23,我刚刚又从新拍了一条,买家表示要重拍,23
178,97,尽量邮政发，可以吗,买家咨询是否可以指定快递,97
179,89,你好，在吗？帮我发货质量要保证，谢谢,买家咨询商品质量是否有保障,89
180,31,亲，怎么好评返现呢？,买家打招呼,31
181,84,床单款和床笠款的区别？,买家咨询商品是不是预售款,84
182,29,有现货的会不会快点发的呢,买家催促发货,29
183,21,好的，座套是什么材质,买家表示先买来试试,21
184,90,亲400可一箱有几个,买家咨询商品重量,90
185,71,你好。我之前买的衣服。现在在想要张发票可以吗,买家咨询如何领取优惠券,71
186,99,请问十一有活动吗,买家咨询是否有活动,60
187,1,老板，还要做生意是不,买家表达不满/生气,1
188,104,亲，昨天收到衣服，我女儿不小心把吊牌剪掉了，能退吗？ /:803 /:803,买家咨询退换货规则,104
189,60,亲爱的，地址写错了,买家咨询活动规则,60
190,9,我第一次就说了如果第二次还发错货就差评，我说的那么严重你们不放在心里，依旧给我发错货，或者说就是挂着羊头卖狗肉，我投诉了又给我发红包，我稀罕的是那些钱吗？你们让我有了非常不愉快的购物，两次！,买家表示拍错了,9
191,105,要退换的运费谁来承担？,买家咨询退换货运费由谁承担,105
192,47,这个玩具有包装袋吗,买家要求添加商家微信,47
193,112,那个288-20这个优惠券可叠加是什么意思啊,买家咨询优惠券使用规则,112
194,60,这个是几斤呢,买家咨询活动规则,60
195,49,江苏省连云港市海州区浦南镇潘圩村一组,买家要求修改收件信息,49
196,109,我已经收到货了  怎么返现,买家咨询退款去向,109
197,1,紧了穿上不满意的,买家表达不满/生气,1
198,111,二件怎么下单,买家咨询物流信息,111
199,55,还有什么快递吗,买家咨询发什么快递,55
200,98,您看成不成吧 不成我就再下一次  /:065 祝您晚安,买家咨询是否有好评返现,98
201,5,嗯好的。,买家表示好的,5
202,60,买二自动送一吗,买家咨询活动规则,60
203,76,这是是什么材质的,买家咨询商品产地,76
204,49,地址改下,买家要求修改收件信息,49
205,62,买两条也是优惠10元？,买家咨询买多件能否优惠,62
206,1,醉了也是,买家表达不满/生气,1
207,106,但是那个韵达吧,买家咨询退换货支持快递,106
208,1,运费现在反我吗,买家表达不满/生气,1
209,90,亲，有多少斤？,买家咨询商品重量,90
210,15,现第二次买了,买家表示是老顾客,15
211,89,你好，这件质量好吗,买家咨询商品质量是否有保障,89
212,82,和这款布料是一样的吗,买家咨询商品区别,82
213,86,就不能多送1袋吗,买家咨询商品是否有赠品,86
214,113,那我的运费什么时候返呢,买家咨询运费金额,113
215,60,双11才会 便宜吗,买家咨询活动规则,60
216,36,呵，那你这就有点搞笑了。在你这买的东西没法穿，你不赔偿，还得我付车费，要你你愿意啊。30几块钱买了这么个垃圾的东西，还得我倒贴30块钱，我花60元是买了空气吗,买家反馈收到的商品有问题,36
217,90,两斤是多少kg,买家咨询商品重量,90
218,17,送别人了,买家表示送人的,17
219,22,那麻烦同意一下换货申请,买家表示需要退货退款,22
220,35,3斤有多少啊,买家发送支付宝账号,35
221,8,好的亲，我等会需要的话就下单了！,买家表示马上下单付款,8
222,111,你别跟我说这个你加急加到哪了,买家咨询物流信息,111
223,81,小一个尺寸是小多少,买家咨询商品具体尺码尺寸,81
224,54,今天不能发货，明天能发么,买家咨询发货时间,54
225,68,哦 那就行  我比较喜欢宽松点的,买家咨询能否提前享受优惠,68
226,104,好吧，那我撤销申请,买家咨询退换货规则,104
227,60,不满159减不了,买家咨询活动规则,60
228,50,今天到了   你们什么时候给我换回来,买家要求延迟发货,50
229,20,给我发中通快递，我方便去件，中通在我家楼下,买家表示物流太慢了,20
230,86,一份是三包？,买家咨询商品是否有赠品,86
231,82,有区别吗,买家咨询商品区别,90
232,28,没有在大码的，我在考虑考虑,买家表示再看看,28
233,57,所有的寄件我昨天收到了,买家咨询返现金额,57
234,47,请问经典和升级区别在哪,买家要求添加商家微信,47
235,1,这边到付不是更好,买家表达不满/生气,1
236,104,你好，吊牌被小孩剪了，还能退货吗,买家咨询退换货规则,104
237,7,好的!谢谢你,买家表示麻烦卖家，表达感谢,7
238,24,这边快递到了,买家表示已经收到货了,24
239,75,你好，请问一下你们可以开增值税专票吗？,买家咨询商品包装,75
240,112,快梯收到了,买家咨询优惠券使用规则,112
241,60,买一送一是9.9两箱的意思还是？,买家咨询活动规则,60
242,106,再过几天，我要搬家了，可以明天就安排快递揽收吗,买家咨询退换货支持快递,106
243,30,正好一脚的话会穿着不满意,买家催促回复,30
244,7,没没没，谢谢,买家表示麻烦卖家，表达感谢,7
245,99,双十一当天还有优惠没,买家咨询是否有活动,99
246,73,是从邢台发货吗,买家咨询商家发货地,73
247,72,这个款怎么买一送一呀,买家咨询如何下单,72
248,10,那我不要了  因为过几天我就不在这里了,买家表示伤心难过,10
249,109,第二件半价什么意思？,买家咨询退款去向,109
250,31,亲已经第五天了好伐,买家打招呼,31
251,5,哦  这样,买家表示好的,5
252,33,改成上面的地址,买家发送结束语,33
253,6,主要是别的快递我收不到,买家表示具体时间寄回去,6
254,71,我的xl什么时候帮我换过来啊,买家咨询如何领取优惠券,71
255,114,我那个衣服换货会退运险费吗,买家咨询运费险赔付规则,114
256,26,你好有没有送杯子,买家表示优惠券无法使用,26
257,1,我他妈。。。。,买家表达不满/生气,1
258,58,返50吗这款,买家咨询返现时间,58
259,49,不改了，就这地址,买家要求修改收件信息,49
260,82,买三免一怎么算的啊,买家咨询商品区别,82
261,78,亲我拍了,买家咨询商品的色差问题,78
262,88,还是黑红吧,买家咨询商品是什么颜色,88
263,73,亲可以晚点发货嘛,买家咨询商家发货地,73
264,94,地址错了可以改吗,买家咨询是否可以改价,94
265,65,窗帘可以定制,买家咨询能否定制,65
266,50,亲 黑色的打底现在拍什么时候能发货呢,买家要求延迟发货,50
267,58,意思是我收货后返现是吧,买家咨询返现时间,58
268,31,你在吗,买家打招呼,31
269,82,这款7.9跟9.9区别在哪,买家咨询商品区别,82
270,88,这衣服色差为什么那么大,买家咨询商品是什么颜色,88
271,24,但是退款我没收到啊,买家表示已经收到货了,24
272,7,老板你好，我给你寄过来了。麻烦你啦。,买家表示麻烦卖家，表达感谢,7
273,61,老板，换的裙子发货后记得发一下单号给我吧，谢谢了！,买家咨询快递单号,61
274,66,如果双十二一起下单能分两个地址发货吗,买家咨询能否分开/一起发货,66
275,99,双十一这两件有什么活动？,买家咨询是否有活动,99
276,48,为什么领券了用不了,买家要求退运费,48
277,106,如果不是发韵达，我退货不要,买家咨询退换货支持快递,106
278,19,我纠结买哪个,买家表示无法下单,19
279,108,怎么可以返钱,买家咨询退款金额,108
280,4,我还是申请退款，然后再重新拍,买家表示地址正确,4
281,86,送不送勺子,买家咨询商品是否有赠品,86
282,32,他们喜欢紧身,买家对特定款式/颜色表达喜好,32
283,113,这二十不是运费的钱吧,买家咨询运费金额,113
284,105,寄回去换货邮费自理吧,买家咨询退换货运费由谁承担,105
285,94,改了码数,买家咨询是否可以改价,94
286,39,非常抱歉,买家向商家表达不好意思,39
287,105,过了今天不发货，我得先投诉再退款，浪费我那么多时间！,买家咨询退换货运费由谁承担,105
288,7,麻烦把我快递加快，谢谢,买家表示麻烦卖家，表达感谢,7
289,73,还是算了，买一条,买家咨询商家发货地,73
290,106,退货可以用圆通快递发过来吗？？？,买家咨询退换货支持快递,106
291,82,这两种有什么区别？,买家咨询商品区别,66
292,79,我看评论里说两斤24个,买家咨询商品规格数量,79
293,24,落下的耳环已收到货,买家表示已经收到货了,24
294,49,已拍了，地址怎么改？,买家要求修改收件信息,49
295,85,这个要是以后想换杯子有单独卖吗,买家咨询商品是否可以单买/单卖,85
296,15,全场第二件半价是怎么弄啊,买家表示是老顾客,15
297,97,合生元3段99购物节什么活动？,买家咨询是否可以指定快递,97
298,54,那件衬衫有具体时间吗,买家咨询发货时间,54
299,82,T33跟T33S区别,买家咨询商品区别,82
300,107,这个和那个外套都是买一送一的活动吗,买家咨询退货退款原因选什么,107
301,62,那你给我改成M码吧,买家咨询买多件能否优惠,62
302,110,多余的款有没有退回来？,买家咨询退款时间,110
303,62,亲，买两件有没有优惠？,买家咨询买多件能否优惠,62
304,67,您好！发票开了没,买家咨询能否开发票及发票类型和寄送时间,67
305,99,其他优惠还有吗,买家咨询是否有活动,99
306,60,买三免一必须是同个订单里的嘛,买家咨询活动规则,60
307,98,稍后就没活动了,买家咨询是否有好评返现,98
308,16,那我可以改地址吗,买家表示收件信息不需要修改了,16
309,99,双十二有电活动吗,买家咨询是否有活动,99
310,97,这个送碗嘛,买家咨询是否可以指定快递,97
311,109,打支付宝吧,买家咨询退款去向,109
312,0,贵吧,买家抱怨商品涨价了,0
313,60,买两个送两个杯子，勺子？,买家咨询活动规则,60
314,110,我看我退的货显示签收了,买家咨询退款时间,110
315,102,烤火会有味道吗,买家咨询是否有味道,102
316,52,好的。  稍等,买家咨询补货/上货时间,52
317,46,好吧，我也不想退了,买家要求取消退换货退款,46
318,67,记得发票一起寄过来??,买家咨询能否开发票及发票类型和寄送时间,67
319,113,补给你多少,买家咨询运费金额,113
320,60,那我现在下单是买一送一吗,买家咨询活动规则,60
321,5,噢，好的,买家表示好的,5
322,53,你这等待揽收等的有点过分了吧,买家咨询到货时间,53
323,67,能不能开个收据啥的附带着,买家咨询能否开发票及发票类型和寄送时间,67
324,110,我订单延迟确认收货下亲,买家咨询退款时间,110
325,74,你好，我寄出去要换的衣服收到了吗,买家咨询商家是否收到寄回的商品,74
326,49,我想改个地址可以么,买家要求修改收件信息,49
327,29,你好，我裤子买了好多天了怎么还没有发货？,买家催促发货,29
328,79,我买的一箱也是65个吧,买家咨询商品规格数量,79
329,22,这个要申请退款么,买家表示需要退货退款,22
330,40,亲，这快递咋回事啊？,买家需要商品推荐,40
331,38,双十一这款也没活动吗,买家讨价还价,38
332,45,拍下了你给我备注发圆通吧，谢谢,买家要求核对订单信息,45
333,103,是净重一公斤吗？,买家咨询退换货地址,103
334,58,需要返现哦,买家咨询返现时间,58
335,108,也没法再退换了,买家咨询退款金额,108
336,59,我换的衣服还没寄出来吗,买家咨询换货发货时间,59
337,60,我看这个是买一送一,买家咨询活动规则,60
338,32,您在哪里发货啊,买家对特定款式/颜色表达喜好,32
339,7,转售后谢谢,买家表示麻烦卖家，表达感谢,7
340,97,重庆可以指定邮政快递吗,买家咨询是否可以指定快递,97
341,46,我先不退再拍一件,买家要求取消退换货退款,46
342,12,帮忙再试试,买家表示商家发错货了,12
343,90,一小袋好多克,买家咨询商品重量,90
344,47,请问你店里有微信吗,买家要求添加商家微信,47
345,48,亲，运费怎么返回呢,买家要求退运费,48
346,4,这个地址对呀！,买家表示地址正确,4
347,67,您好，已签收，请尽快开发票哦,买家咨询能否开发票及发票类型和寄送时间,67
348,24,你好这边已经收到货了,买家表示已经收到货了,24
349,75,我靠他妈,买家咨询商品包装,75
350,114,票开好没有,买家咨询运费险赔付规则,114
351,1,建议我穿不下 还问我 搞笑,买家表达不满/生气,1
352,22,多拍了，麻烦退个款,买家表示需要退货退款,22
353,60,还有88折活动吗,买家咨询活动规则,60
354,32,其实我比较喜欢这条呢,买家对特定款式/颜色表达喜好,32
355,113,多少斤,买家咨询运费金额,113
356,103,给我个退货地址，买的衣服太大了穿不了,买家咨询退换货地址,103
357,28,请问是从浙江发货吗,买家表示再看看,28
358,112,加厚和老款有啥区别啊,买家咨询优惠券使用规则,112
359,29,??  麻烦了亲,买家催促发货,29
360,71,亲，你这个衣服有优惠券吗,买家咨询如何领取优惠券,71
361,75,我的快递到哪了,买家咨询商品包装,75
362,49,亲，我忘记备注要邮政快递了，帮我备注一下,买家要求修改收件信息,49
363,97,我不想浪费我的时间，我在淘宝也是良心买家，碰到黑心卖家，算我倒霉，,买家咨询是否可以指定快递,97
364,86,送什么样的，是同款吗,买家咨询商品是否有赠品,86
365,3,不要了 /:^_^,买家表示不想要了,3
366,49,送到长沙市区,买家要求修改收件信息,49
367,65,发票随货品一起寄出嘛？,买家咨询能否定制,65
368,82,实货跟照片一样吗？,买家咨询商品区别,82
369,55,您好，请问发货快递有什么呢,买家咨询发什么快递,55
370,87,鞋子只能发中通快递吗？,买家咨询商品是否有质保，质保多久,87
371,22,我要申请退款还是退货退款,买家表示需要退货退款,22
372,65,我要求定制36个的,买家咨询能否定制,65
373,82,表层是一样的是吧,买家咨询商品区别,82
374,90,是返现么？,买家咨询商品重量,90
375,82,加绒跟厚绒的区别,买家咨询商品区别,82
376,23,那我不如退了重新拍呢,买家表示要重拍,23
377,1,还不发货 太过分了吧,买家表达不满/生气,1
378,36,今天刚打开包裹，里面都是破的,买家反馈收到的商品有问题,36
379,67,已收到，发票什么时候开过来,买家咨询能否开发票及发票类型和寄送时间,67
380,30,都不回是吧,买家催促回复,30
381,104,凤仙引上袄可以退换吗,买家咨询退换货规则,104
382,62,想购买这两件 便宜一点,买家咨询买多件能否优惠,62
383,3,不敢相信，被骗过的,买家表示不想要了,3
384,82,有磁和无磁有什么区别,买家咨询商品区别,82
385,36,是不是热点的地方会涨袋的快呀？,买家反馈收到的商品有问题,36
386,84,袄不是预售吗？,买家咨询商品是不是预售款,84
387,17,我今天到货了，但那个领子穿着一点都不满意,买家表示送人的,17
388,53,亲，广东佛山大概什么时候能到？,买家咨询到货时间,53
389,55,确认收货后一样返10元,买家咨询发什么快递,55
390,106,退货用啥快递公司都行吧,买家咨询退换货支持快递,106
391,22,我怕错了 想退款重新拍,买家表示需要退货退款,22
392,79,好看好穿，双11再多买几件,买家咨询商品规格数量,79
393,28,行 知道了 谢谢 我再看看,买家表示再看看,28
394,25,我又买了个饼干,买家表示已下单付款,25
395,67,可以开电子发票不呢,买家咨询能否开发票及发票类型和寄送时间,65
396,86,我喜欢有肩扣的,买家咨询商品是否有赠品,86
397,23,您好我重新拍一下,买家表示要重拍,23
398,44,你好 麻烦你帮我修改一下邮费,买家要求改运费,44
399,86,我买三包，我是不是送三份赠品？,买家咨询商品是否有赠品,86
400,88,为什么评论里边深蓝色是这个颜色,买家咨询商品是什么颜色,88
401,1,我没次追问都要重复一遍，怎么让我感觉你们在推脱责任？,买家表达不满/生气,1
402,2,您好   双十二拍下东西后  需要开票  票是跟随货物一起出  还是后期单独开,买家表达赞美/满意,2
403,27,有点看不懂,买家表示有疑问/不理解,27
404,60,买一送一，是送的一样的商品吗,买家咨询活动规则,60
405,111,我换货的有单号不,买家咨询物流信息,111
406,35,刘少俊13068780267,买家发送支付宝账号,35
407,31,这双鞋子怎么那么重,买家打招呼,31
408,114,你好，我的运费险怎么算？,买家咨询运费险赔付规则,114
409,29,那个退货的 我们回老家了 叫朋友帮忙寄的他忘记在他车子里了 明天会给快递 抱歉哈,买家催促发货,29
410,90,208克有几个大概,买家咨询商品重量,90
411,36,我要米色，130的,买家反馈收到的商品有问题,36
412,12,东西是不是发错了,买家表示商家发错货了,12
413,49,后面的那个标剪掉了 可以吗？,买家要求修改收件信息,49
414,64,没有到付,买家咨询能否到付,64
415,99,现在有双12活动吗,买家咨询是否有活动,99
416,107,麻烦开发票谢谢,买家咨询退货退款原因选什么,107
417,68,裤子尺码推荐小了能退嘛,买家咨询能否提前享受优惠,68
418,65,可以定制2.2*2.3的嘛？,买家咨询能否定制,65
419,5,已经收到了，很满意,买家表示好的,5
420,40,我买是塑料材料？,买家需要商品推荐,40
421,108,为什么不能我拍6瓶，你改价格呢,买家咨询退款金额,108
422,41,这两件衣服可以用购物津贴吗,买家要求补偿,41
423,5,多次购买了,买家表示好的,5
424,105,没有运费险，算了，怕不合适退换还得自己掏运费！,买家咨询退换货运费由谁承担,105
425,104,我想退掉 重新买,买家咨询退换货规则,104
426,15,多年的老顾客了。,买家表示是老顾客,15
427,79,一共6个,买家咨询商品规格数量,79
428,14,在等我一会,买家表示稍等,14
429,49,那另一件能改个地址吗,买家要求修改收件信息,49
430,53,那是这边邮费多少退多少吗,买家咨询到货时间,53
431,60,专柜和卡其色什么区别,买家咨询活动规则,60
432,65,可以定制名字吗,买家咨询能否定制,65
433,92,快递怎么不分成一个包裹发呢,买家咨询是否可以打折,92
434,2,这款看起来不错！,买家表达赞美/满意,2
435,94,这两个能不能麻烦改个价呀,买家咨询是否可以改价,94
436,88,好，没有色差吧,买家咨询商品是什么颜色,88
437,36,可是包装袋怎么这么简陋呢,买家反馈收到的商品有问题,36
438,31,老哥,买家打招呼,31
439,111,我已經收到货了,买家咨询物流信息,111
440,97,请问能不能帮我用中通快递,买家咨询是否可以指定快递,97
441,104,我刚才换货怎么不能换呢,买家咨询退换货规则,104
442,66,那个我也发的先给你发的那个,买家咨询能否分开/一起发货,66
443,43,是买一发两瓶吗,买家要求改商品信息,43
444,111,请问一下我的快递帮忙查到了吗？,买家咨询物流信息,111
445,71,那优惠券可以有吗,买家咨询如何领取优惠券,71
