label,label_des,support,correct,errors,class_accuracy
52,买家咨询补货/上货时间,27,15,12,0.5555555555555556
61,买家咨询快递单号,9,5,4,0.5555555555555556
113,买家咨询运费金额,9,5,4,0.5555555555555556
25,买家表示已下单付款,21,12,9,0.5714285714285714
39,买家向商家表达不好意思,7,4,3,0.5714285714285714
44,买家要求改运费,7,4,3,0.5714285714285714
74,买家咨询商家是否收到寄回的商品,20,12,8,0.6
2,买家表达赞美/满意,15,9,6,0.6
50,买家要求延迟发货,15,9,6,0.6
103,买家咨询退换货地址,10,6,4,0.6
60,买家咨询活动规则,119,73,46,0.6134453781512605
15,买家表示是老顾客,13,8,5,0.6153846153846154
106,买家咨询退换货支持快递,13,8,5,0.6153846153846154
31,买家打招呼,24,15,9,0.625
110,买家咨询退款时间,16,10,6,0.625
29,买家催促发货,35,22,13,0.6285714285714286
32,买家对特定款式/颜色表达喜好,11,7,4,0.6363636363636364
26,买家表示优惠券无法使用,14,9,5,0.6428571428571429
104,买家咨询退换货规则,23,15,8,0.6521739130434783
1,买家表达不满/生气,60,40,20,0.6666666666666666
3,买家表示不想要了,24,16,8,0.6666666666666666
109,买家咨询退款去向,6,4,2,0.6666666666666666
22,买家表示需要退货退款,37,25,12,0.6756756756756757
99,买家咨询是否有活动,47,32,15,0.6808510638297872
82,买家咨询商品区别,76,52,24,0.6842105263157895
48,买家要求退运费,19,13,6,0.6842105263157895
62,买家咨询买多件能否优惠,16,11,5,0.6875
77,买家咨询商品的材质/面料,26,18,8,0.6923076923076923
28,买家表示再看看,10,7,3,0.7
94,买家咨询是否可以改价,10,7,3,0.7
105,买家咨询退换货运费由谁承担,34,24,10,0.7058823529411765
92,买家咨询是否可以打折,17,12,5,0.7058823529411765
12,买家表示商家发错货了,14,10,4,0.7142857142857143
88,买家咨询商品是什么颜色,18,13,5,0.7222222222222222
23,买家表示要重拍,29,21,8,0.7241379310344828
54,买家咨询发货时间,39,29,10,0.7435897435897436
49,买家要求修改收件信息,47,35,12,0.7446808510638298
97,买家咨询是否可以指定快递,47,35,12,0.7446808510638298
36,买家反馈收到的商品有问题,12,9,3,0.75
38,买家讨价还价,12,9,3,0.75
96,买家咨询是否可以微信支付,4,3,1,0.75
71,买家咨询如何领取优惠券,21,16,5,0.7619047619047619
86,买家咨询商品是否有赠品,51,39,12,0.7647058823529411
9,买家表示拍错了,17,13,4,0.7647058823529411
59,买家咨询换货发货时间,13,10,3,0.7692307692307693
7,买家表示麻烦卖家，表达感谢,27,21,6,0.7777777777777778
19,买家表示无法下单,9,7,2,0.7777777777777778
87,买家咨询商品是否有质保，质保多久,9,7,2,0.7777777777777778
24,买家表示已经收到货了,14,11,3,0.7857142857142857
89,买家咨询商品质量是否有保障,19,15,4,0.7894736842105263
65,买家咨询能否定制,31,25,6,0.8064516129032258
85,买家咨询商品是否可以单买/单卖,6,5,1,0.8333333333333334
20,买家表示物流太慢了,13,11,2,0.8461538461538461
75,买家咨询商品包装,13,11,2,0.8461538461538461
53,买家咨询到货时间,21,18,3,0.8571428571428571
112,买家咨询优惠券使用规则,7,6,1,0.8571428571428571
79,买家咨询商品规格数量,45,39,6,0.8666666666666667
114,买家咨询运费险赔付规则,15,13,2,0.8666666666666667
90,买家咨询商品重量,58,51,7,0.8793103448275862
78,买家咨询商品的色差问题,18,16,2,0.8888888888888888
46,买家要求取消退换货退款,21,19,2,0.9047619047619048
102,买家咨询是否有味道,21,19,2,0.9047619047619048
58,买家咨询返现时间,11,10,1,0.9090909090909091
67,买家咨询能否开发票及发票类型和寄送时间,46,42,4,0.9130434782608695
93,买家咨询是否可以发顺丰,15,14,1,0.9333333333333333
66,买家咨询能否分开/一起发货,16,15,1,0.9375
