label,pred_label,count,true_label_des,pred_label_des,true_support,confusion_rate
80,38,2,买家咨询商品价格,买家讨价还价,12,0.16666666666666666
80,82,2,买家咨询商品价格,买家咨询商品区别,12,0.16666666666666666
80,113,2,买家咨询商品价格,买家咨询运费金额,12,0.16666666666666666
21,89,2,买家表示先买来试试,买家咨询商品质量是否有保障,13,0.15384615384615385
40,8,2,买家需要商品推荐,买家表示马上下单付款,13,0.15384615384615385
40,90,2,买家需要商品推荐,买家咨询商品重量,13,0.15384615384615385
72,7,2,买家咨询如何下单,买家表示麻烦卖家，表达感谢,13,0.15384615384615385
4,97,2,买家表示地址正确,买家咨询是否可以指定快递,14,0.14285714285714285
62,38,2,买家咨询买多件能否优惠,买家讨价还价,16,0.125
88,22,2,买家咨询商品是什么颜色,买家表示需要退货退款,18,0.1111111111111111
88,60,2,买家咨询商品是什么颜色,买家咨询活动规则,18,0.1111111111111111
5,31,2,买家表示好的,买家打招呼,19,0.10526315789473684
74,24,2,买家咨询商家是否收到寄回的商品,买家表示已经收到货了,20,0.1
74,110,2,买家咨询商家是否收到寄回的商品,买家咨询退款时间,20,0.1
25,86,2,买家表示已下单付款,买家咨询商品是否有赠品,21,0.09523809523809523
71,26,2,买家咨询如何领取优惠券,买家表示优惠券无法使用,21,0.09523809523809523
104,105,2,买家咨询退换货规则,买家咨询退换货运费由谁承担,23,0.08695652173913043
31,15,2,买家打招呼,买家表示是老顾客,24,0.08333333333333333
77,38,2,买家咨询商品的材质/面料,买家讨价还价,26,0.07692307692307693
111,29,2,买家咨询物流信息,买家催促发货,26,0.07692307692307693
52,12,2,买家咨询补货/上货时间,买家表示商家发错货了,27,0.07407407407407407
65,77,2,买家咨询能否定制,买家咨询商品的材质/面料,31,0.06451612903225806
65,102,2,买家咨询能否定制,买家咨询是否有味道,31,0.06451612903225806
29,46,2,买家催促发货,买家要求取消退换货退款,35,0.05714285714285714
22,29,2,买家表示需要退货退款,买家催促发货,37,0.05405405405405406
79,90,2,买家咨询商品规格数量,买家咨询商品重量,45,0.044444444444444446
49,4,2,买家要求修改收件信息,买家表示地址正确,47,0.0425531914893617
97,20,2,买家咨询是否可以指定快递,买家表示物流太慢了,47,0.0425531914893617
1,22,2,买家表达不满/生气,买家表示需要退货退款,60,0.03333333333333333
82,78,2,买家咨询商品区别,买家咨询商品的色差问题,76,0.02631578947368421
60,41,2,买家咨询活动规则,买家要求补偿,119,0.01680672268907563
60,62,2,买家咨询活动规则,买家咨询买多件能否优惠,119,0.01680672268907563
60,90,2,买家咨询活动规则,买家咨询商品重量,119,0.01680672268907563
101,43,1,买家咨询是否有实体店,买家要求改商品信息,1,1.0
11,46,1,买家表示商家发错地址,买家要求取消退换货退款,2,0.5
11,49,1,买家表示商家发错地址,买家要求修改收件信息,2,0.5
107,28,1,买家咨询退货退款原因选什么,买家表示再看看,2,0.5
107,86,1,买家咨询退货退款原因选什么,买家咨询商品是否有赠品,2,0.5
116,46,1,买家咨询赠品是否可以自选,买家要求取消退换货退款,2,0.5
116,60,1,买家咨询赠品是否可以自选,买家咨询活动规则,2,0.5
68,12,1,买家咨询能否提前享受优惠,买家表示商家发错货了,3,0.3333333333333333
68,20,1,买家咨询能否提前享受优惠,买家表示物流太慢了,3,0.3333333333333333
68,65,1,买家咨询能否提前享受优惠,买家咨询能否定制,3,0.3333333333333333
70,60,1,买家咨询如何加入会员,买家咨询活动规则,3,0.3333333333333333
70,106,1,买家咨询如何加入会员,买家咨询退换货支持快递,3,0.3333333333333333
70,113,1,买家咨询如何加入会员,买家咨询运费金额,3,0.3333333333333333
91,29,1,买家咨询什么颜色好看,买家催促发货,3,0.3333333333333333
91,65,1,买家咨询什么颜色好看,买家咨询能否定制,3,0.3333333333333333
91,89,1,买家咨询什么颜色好看,买家咨询商品质量是否有保障,3,0.3333333333333333
117,86,1,买家咨询自己的旺旺昵称,买家咨询商品是否有赠品,3,0.3333333333333333
117,90,1,买家咨询自己的旺旺昵称,买家咨询商品重量,3,0.3333333333333333
117,97,1,买家咨询自己的旺旺昵称,买家咨询是否可以指定快递,3,0.3333333333333333
34,7,1,买家发送开票信息,买家表示麻烦卖家，表达感谢,4,0.25
34,25,1,买家发送开票信息,买家表示已下单付款,4,0.25
34,65,1,买家发送开票信息,买家咨询能否定制,4,0.25
34,73,1,买家发送开票信息,买家咨询商家发货地,4,0.25
41,2,1,买家要求补偿,买家表达赞美/满意,4,0.25
41,97,1,买家要求补偿,买家咨询是否可以指定快递,4,0.25
84,15,1,买家咨询商品是不是预售款,买家表示是老顾客,4,0.25
84,105,1,买家咨询商品是不是预售款,买家咨询退换货运费由谁承担,4,0.25
96,1,1,买家咨询是否可以微信支付,买家表达不满/生气,4,0.25
100,0,1,买家咨询是否有买家秀,买家抱怨商品涨价了,4,0.25
100,57,1,买家咨询是否有买家秀,买家咨询返现金额,4,0.25
100,71,1,买家咨询是否有买家秀,买家咨询如何领取优惠券,4,0.25
100,98,1,买家咨询是否有买家秀,买家咨询是否有好评返现,4,0.25
45,9,1,买家要求核对订单信息,买家表示拍错了,5,0.2
45,12,1,买家要求核对订单信息,买家表示商家发错货了,5,0.2
45,40,1,买家要求核对订单信息,买家需要商品推荐,5,0.2
45,62,1,买家要求核对订单信息,买家咨询买多件能否优惠,5,0.2
45,93,1,买家要求核对订单信息,买家咨询是否可以发顺丰,5,0.2
83,20,1,买家咨询商品上新时间,买家表示物流太慢了,5,0.2
83,60,1,买家咨询商品上新时间,买家咨询活动规则,5,0.2
83,67,1,买家咨询商品上新时间,买家咨询能否开发票及发票类型和寄送时间,5,0.2
83,82,1,买家咨询商品上新时间,买家咨询商品区别,5,0.2
8,14,1,买家表示马上下单付款,买家表示稍等,6,0.16666666666666666
8,15,1,买家表示马上下单付款,买家表示是老顾客,6,0.16666666666666666
8,25,1,买家表示马上下单付款,买家表示已下单付款,6,0.16666666666666666
8,72,1,买家表示马上下单付款,买家咨询如何下单,6,0.16666666666666666
18,23,1,买家表示无法申请退款,买家表示要重拍,6,0.16666666666666666
18,29,1,买家表示无法申请退款,买家催促发货,6,0.16666666666666666
18,46,1,买家表示无法申请退款,买家要求取消退换货退款,6,0.16666666666666666
18,97,1,买家表示无法申请退款,买家咨询是否可以指定快递,6,0.16666666666666666
18,104,1,买家表示无法申请退款,买家咨询退换货规则,6,0.16666666666666666
18,112,1,买家表示无法申请退款,买家咨询优惠券使用规则,6,0.16666666666666666
35,62,1,买家发送支付宝账号,买家咨询买多件能否优惠,6,0.16666666666666666
35,79,1,买家发送支付宝账号,买家咨询商品规格数量,6,0.16666666666666666
35,98,1,买家发送支付宝账号,买家咨询是否有好评返现,6,0.16666666666666666
42,49,1,买家要求发货检查,买家要求修改收件信息,6,0.16666666666666666
42,61,1,买家要求发货检查,买家咨询快递单号,6,0.16666666666666666
42,75,1,买家要求发货检查,买家咨询商品包装,6,0.16666666666666666
42,89,1,买家要求发货检查,买家咨询商品质量是否有保障,6,0.16666666666666666
42,102,1,买家要求发货检查,买家咨询是否有味道,6,0.16666666666666666
63,5,1,买家咨询哪款更好,买家表示好的,6,0.16666666666666666
63,22,1,买家咨询哪款更好,买家表示需要退货退款,6,0.16666666666666666
63,49,1,买家咨询哪款更好,买家要求修改收件信息,6,0.16666666666666666
63,60,1,买家咨询哪款更好,买家咨询活动规则,6,0.16666666666666666
63,107,1,买家咨询哪款更好,买家咨询退货退款原因选什么,6,0.16666666666666666
63,111,1,买家咨询哪款更好,买家咨询物流信息,6,0.16666666666666666
85,111,1,买家咨询商品是否可以单买/单卖,买家咨询物流信息,6,0.16666666666666666
109,90,1,买家咨询退款去向,买家咨询商品重量,6,0.16666666666666666
109,96,1,买家咨询退款去向,买家咨询是否可以微信支付,6,0.16666666666666666
115,5,1,买家咨询赠品何时发货,买家表示好的,6,0.16666666666666666
115,21,1,买家咨询赠品何时发货,买家表示先买来试试,6,0.16666666666666666
115,54,1,买家咨询赠品何时发货,买家咨询发货时间,6,0.16666666666666666
115,82,1,买家咨询赠品何时发货,买家咨询商品区别,6,0.16666666666666666
115,99,1,买家咨询赠品何时发货,买家咨询是否有活动,6,0.16666666666666666
115,105,1,买家咨询赠品何时发货,买家咨询退换货运费由谁承担,6,0.16666666666666666
10,24,1,买家表示伤心难过,买家表示已经收到货了,7,0.14285714285714285
10,36,1,买家表示伤心难过,买家反馈收到的商品有问题,7,0.14285714285714285
10,61,1,买家表示伤心难过,买家咨询快递单号,7,0.14285714285714285
10,76,1,买家表示伤心难过,买家咨询商品产地,7,0.14285714285714285
10,105,1,买家表示伤心难过,买家咨询退换货运费由谁承担,7,0.14285714285714285
10,112,1,买家表示伤心难过,买家咨询优惠券使用规则,7,0.14285714285714285
17,6,1,买家表示送人的,买家表示具体时间寄回去,7,0.14285714285714285
17,8,1,买家表示送人的,买家表示马上下单付款,7,0.14285714285714285
17,29,1,买家表示送人的,买家催促发货,7,0.14285714285714285
17,71,1,买家表示送人的,买家咨询如何领取优惠券,7,0.14285714285714285
17,80,1,买家表示送人的,买家咨询商品价格,7,0.14285714285714285
27,5,1,买家表示有疑问/不理解,买家表示好的,7,0.14285714285714285
27,13,1,买家表示有疑问/不理解,买家表示商品已经寄回去了,7,0.14285714285714285
27,19,1,买家表示有疑问/不理解,买家表示无法下单,7,0.14285714285714285
27,20,1,买家表示有疑问/不理解,买家表示物流太慢了,7,0.14285714285714285
27,40,1,买家表示有疑问/不理解,买家需要商品推荐,7,0.14285714285714285
33,7,1,买家发送结束语,买家表示麻烦卖家，表达感谢,7,0.14285714285714285
33,25,1,买家发送结束语,买家表示已下单付款,7,0.14285714285714285
33,27,1,买家发送结束语,买家表示有疑问/不理解,7,0.14285714285714285
33,54,1,买家发送结束语,买家咨询发货时间,7,0.14285714285714285
33,67,1,买家发送结束语,买家咨询能否开发票及发票类型和寄送时间,7,0.14285714285714285
33,75,1,买家发送结束语,买家咨询商品包装,7,0.14285714285714285
39,7,1,买家向商家表达不好意思,买家表示麻烦卖家，表达感谢,7,0.14285714285714285
39,22,1,买家向商家表达不好意思,买家表示需要退货退款,7,0.14285714285714285
39,82,1,买家向商家表达不好意思,买家咨询商品区别,7,0.14285714285714285
44,2,1,买家要求改运费,买家表达赞美/满意,7,0.14285714285714285
44,53,1,买家要求改运费,买家咨询到货时间,7,0.14285714285714285
44,98,1,买家要求改运费,买家咨询是否有好评返现,7,0.14285714285714285
112,86,1,买家咨询优惠券使用规则,买家咨询商品是否有赠品,7,0.14285714285714285
16,21,1,买家表示收件信息不需要修改了,买家表示先买来试试,8,0.125
16,47,1,买家表示收件信息不需要修改了,买家要求添加商家微信,8,0.125
16,78,1,买家表示收件信息不需要修改了,买家咨询商品的色差问题,8,0.125
16,91,1,买家表示收件信息不需要修改了,买家咨询什么颜色好看,8,0.125
16,97,1,买家表示收件信息不需要修改了,买家咨询是否可以指定快递,8,0.125
37,7,1,买家确认地址是否修改成功,买家表示麻烦卖家，表达感谢,8,0.125
37,43,1,买家确认地址是否修改成功,买家要求改商品信息,8,0.125
37,93,1,买家确认地址是否修改成功,买家咨询是否可以发顺丰,8,0.125
51,32,1,买家要求延长收货时间,买家对特定款式/颜色表达喜好,8,0.125
51,49,1,买家要求延长收货时间,买家要求修改收件信息,8,0.125
51,53,1,买家要求延长收货时间,买家咨询到货时间,8,0.125
51,66,1,买家要求延长收货时间,买家咨询能否分开/一起发货,8,0.125
76,7,1,买家咨询商品产地,买家表示麻烦卖家，表达感谢,8,0.125
76,9,1,买家咨询商品产地,买家表示拍错了,8,0.125
76,30,1,买家咨询商品产地,买家催促回复,8,0.125
76,58,1,买家咨询商品产地,买家咨询返现时间,8,0.125
76,73,1,买家咨询商品产地,买家咨询商家发货地,8,0.125
95,23,1,买家咨询是否可以拒收,买家表示要重拍,8,0.125
95,40,1,买家咨询是否可以拒收,买家需要商品推荐,8,0.125
95,52,1,买家咨询是否可以拒收,买家咨询补货/上货时间,8,0.125
95,77,1,买家咨询是否可以拒收,买家咨询商品的材质/面料,8,0.125
95,82,1,买家咨询是否可以拒收,买家咨询商品区别,8,0.125
95,93,1,买家咨询是否可以拒收,买家咨询是否可以发顺丰,8,0.125
95,105,1,买家咨询是否可以拒收,买家咨询退换货运费由谁承担,8,0.125
95,114,1,买家咨询是否可以拒收,买家咨询运费险赔付规则,8,0.125
19,54,1,买家表示无法下单,买家咨询发货时间,9,0.1111111111111111
19,71,1,买家表示无法下单,买家咨询如何领取优惠券,9,0.1111111111111111
30,46,1,买家催促回复,买家要求取消退换货退款,9,0.1111111111111111
30,65,1,买家催促回复,买家咨询能否定制,9,0.1111111111111111
30,82,1,买家催促回复,买家咨询商品区别,9,0.1111111111111111
30,102,1,买家催促回复,买家咨询是否有味道,9,0.1111111111111111
30,114,1,买家催促回复,买家咨询运费险赔付规则,9,0.1111111111111111
61,26,1,买家咨询快递单号,买家表示优惠券无法使用,9,0.1111111111111111
61,29,1,买家咨询快递单号,买家催促发货,9,0.1111111111111111
61,82,1,买家咨询快递单号,买家咨询商品区别,9,0.1111111111111111
61,109,1,买家咨询快递单号,买家咨询退款去向,9,0.1111111111111111
73,92,1,买家咨询商家发货地,买家咨询是否可以打折,9,0.1111111111111111
73,94,1,买家咨询商家发货地,买家咨询是否可以改价,9,0.1111111111111111
73,105,1,买家咨询商家发货地,买家咨询退换货运费由谁承担,9,0.1111111111111111
73,111,1,买家咨询商家发货地,买家咨询物流信息,9,0.1111111111111111
87,105,1,买家咨询商品是否有质保，质保多久,买家咨询退换货运费由谁承担,9,0.1111111111111111
87,114,1,买家咨询商品是否有质保，质保多久,买家咨询运费险赔付规则,9,0.1111111111111111
108,12,1,买家咨询退款金额,买家表示商家发错货了,9,0.1111111111111111
108,38,1,买家咨询退款金额,买家讨价还价,9,0.1111111111111111
108,49,1,买家咨询退款金额,买家要求修改收件信息,9,0.1111111111111111
108,57,1,买家咨询退款金额,买家咨询返现金额,9,0.1111111111111111
108,97,1,买家咨询退款金额,买家咨询是否可以指定快递,9,0.1111111111111111
113,30,1,买家咨询运费金额,买家催促回复,9,0.1111111111111111
113,85,1,买家咨询运费金额,买家咨询商品是否可以单买/单卖,9,0.1111111111111111
113,105,1,买家咨询运费金额,买家咨询退换货运费由谁承担,9,0.1111111111111111
113,106,1,买家咨询运费金额,买家咨询退换货支持快递,9,0.1111111111111111
6,1,1,买家表示具体时间寄回去,买家表达不满/生气,10,0.1
6,20,1,买家表示具体时间寄回去,买家表示物流太慢了,10,0.1
6,47,1,买家表示具体时间寄回去,买家要求添加商家微信,10,0.1
6,67,1,买家表示具体时间寄回去,买家咨询能否开发票及发票类型和寄送时间,10,0.1
6,77,1,买家表示具体时间寄回去,买家咨询商品的材质/面料,10,0.1
6,79,1,买家表示具体时间寄回去,买家咨询商品规格数量,10,0.1
6,104,1,买家表示具体时间寄回去,买家咨询退换货规则,10,0.1
6,112,1,买家表示具体时间寄回去,买家咨询优惠券使用规则,10,0.1
28,36,1,买家表示再看看,买家反馈收到的商品有问题,10,0.1
28,57,1,买家表示再看看,买家咨询返现金额,10,0.1
28,60,1,买家表示再看看,买家咨询活动规则,10,0.1
47,15,1,买家要求添加商家微信,买家表示是老顾客,10,0.1
47,21,1,买家要求添加商家微信,买家表示先买来试试,10,0.1
47,22,1,买家要求添加商家微信,买家表示需要退货退款,10,0.1
47,46,1,买家要求添加商家微信,买家要求取消退换货退款,10,0.1
47,61,1,买家要求添加商家微信,买家咨询快递单号,10,0.1
47,80,1,买家要求添加商家微信,买家咨询商品价格,10,0.1
57,30,1,买家咨询返现金额,买家催促回复,10,0.1
57,44,1,买家咨询返现金额,买家要求改运费,10,0.1
64,62,1,买家咨询能否到付,买家咨询买多件能否优惠,10,0.1
64,82,1,买家咨询能否到付,买家咨询商品区别,10,0.1
64,94,1,买家咨询能否到付,买家咨询是否可以改价,10,0.1
81,0,1,买家咨询商品具体尺码尺寸,买家抱怨商品涨价了,10,0.1
81,60,1,买家咨询商品具体尺码尺寸,买家咨询活动规则,10,0.1
81,61,1,买家咨询商品具体尺码尺寸,买家咨询快递单号,10,0.1
81,67,1,买家咨询商品具体尺码尺寸,买家咨询能否开发票及发票类型和寄送时间,10,0.1
81,78,1,买家咨询商品具体尺码尺寸,买家咨询商品的色差问题,10,0.1
94,3,1,买家咨询是否可以改价,买家表示不想要了,10,0.1
94,39,1,买家咨询是否可以改价,买家向商家表达不好意思,10,0.1
94,49,1,买家咨询是否可以改价,买家要求修改收件信息,10,0.1
103,38,1,买家咨询退换货地址,买家讨价还价,10,0.1
103,60,1,买家咨询退换货地址,买家咨询活动规则,10,0.1
103,89,1,买家咨询退换货地址,买家咨询商品质量是否有保障,10,0.1
103,106,1,买家咨询退换货地址,买家咨询退换货支持快递,10,0.1
32,10,1,买家对特定款式/颜色表达喜好,买家表示伤心难过,11,0.09090909090909091
32,49,1,买家对特定款式/颜色表达喜好,买家要求修改收件信息,11,0.09090909090909091
32,77,1,买家对特定款式/颜色表达喜好,买家咨询商品的材质/面料,11,0.09090909090909091
32,88,1,买家对特定款式/颜色表达喜好,买家咨询商品是什么颜色,11,0.09090909090909091
56,22,1,买家咨询返现方式,买家表示需要退货退款,11,0.09090909090909091
56,46,1,买家咨询返现方式,买家要求取消退换货退款,11,0.09090909090909091
56,54,1,买家咨询返现方式,买家咨询发货时间,11,0.09090909090909091
56,62,1,买家咨询返现方式,买家咨询买多件能否优惠,11,0.09090909090909091
56,86,1,买家咨询返现方式,买家咨询商品是否有赠品,11,0.09090909090909091
56,97,1,买家咨询返现方式,买家咨询是否可以指定快递,11,0.09090909090909091
56,109,1,买家咨询返现方式,买家咨询退款去向,11,0.09090909090909091
58,92,1,买家咨询返现时间,买家咨询是否可以打折,11,0.09090909090909091
69,9,1,买家咨询偏远地区是否发货,买家表示拍错了,11,0.09090909090909091
69,15,1,买家咨询偏远地区是否发货,买家表示是老顾客,11,0.09090909090909091
69,22,1,买家咨询偏远地区是否发货,买家表示需要退货退款,11,0.09090909090909091
69,67,1,买家咨询偏远地区是否发货,买家咨询能否开发票及发票类型和寄送时间,11,0.09090909090909091
0,5,1,买家抱怨商品涨价了,买家表示好的,12,0.08333333333333333
0,38,1,买家抱怨商品涨价了,买家讨价还价,12,0.08333333333333333
0,60,1,买家抱怨商品涨价了,买家咨询活动规则,12,0.08333333333333333
0,65,1,买家抱怨商品涨价了,买家咨询能否定制,12,0.08333333333333333
0,67,1,买家抱怨商品涨价了,买家咨询能否开发票及发票类型和寄送时间,12,0.08333333333333333
0,77,1,买家抱怨商品涨价了,买家咨询商品的材质/面料,12,0.08333333333333333
13,6,1,买家表示商品已经寄回去了,买家表示具体时间寄回去,12,0.08333333333333333
13,36,1,买家表示商品已经寄回去了,买家反馈收到的商品有问题,12,0.08333333333333333
13,60,1,买家表示商品已经寄回去了,买家咨询活动规则,12,0.08333333333333333
13,61,1,买家表示商品已经寄回去了,买家咨询快递单号,12,0.08333333333333333
13,90,1,买家表示商品已经寄回去了,买家咨询商品重量,12,0.08333333333333333
13,104,1,买家表示商品已经寄回去了,买家咨询退换货规则,12,0.08333333333333333
13,112,1,买家表示商品已经寄回去了,买家咨询优惠券使用规则,12,0.08333333333333333
36,1,1,买家反馈收到的商品有问题,买家表达不满/生气,12,0.08333333333333333
36,53,1,买家反馈收到的商品有问题,买家咨询到货时间,12,0.08333333333333333
36,75,1,买家反馈收到的商品有问题,买家咨询商品包装,12,0.08333333333333333
38,47,1,买家讨价还价,买家要求添加商家微信,12,0.08333333333333333
38,49,1,买家讨价还价,买家要求修改收件信息,12,0.08333333333333333
38,50,1,买家讨价还价,买家要求延迟发货,12,0.08333333333333333
55,1,1,买家咨询发什么快递,买家表达不满/生气,12,0.08333333333333333
55,7,1,买家咨询发什么快递,买家表示麻烦卖家，表达感谢,12,0.08333333333333333
55,20,1,买家咨询发什么快递,买家表示物流太慢了,12,0.08333333333333333
55,66,1,买家咨询发什么快递,买家咨询能否分开/一起发货,12,0.08333333333333333
80,41,1,买家咨询商品价格,买家要求补偿,12,0.08333333333333333
80,105,1,买家咨询商品价格,买家咨询退换货运费由谁承担,12,0.08333333333333333
15,8,1,买家表示是老顾客,买家表示马上下单付款,13,0.07692307692307693
15,39,1,买家表示是老顾客,买家向商家表达不好意思,13,0.07692307692307693
15,60,1,买家表示是老顾客,买家咨询活动规则,13,0.07692307692307693
15,99,1,买家表示是老顾客,买家咨询是否有活动,13,0.07692307692307693
15,111,1,买家表示是老顾客,买家咨询物流信息,13,0.07692307692307693
20,62,1,买家表示物流太慢了,买家咨询买多件能否优惠,13,0.07692307692307693
20,111,1,买家表示物流太慢了,买家咨询物流信息,13,0.07692307692307693
21,62,1,买家表示先买来试试,买家咨询买多件能否优惠,13,0.07692307692307693
21,72,1,买家表示先买来试试,买家咨询如何下单,13,0.07692307692307693
21,74,1,买家表示先买来试试,买家咨询商家是否收到寄回的商品,13,0.07692307692307693
21,82,1,买家表示先买来试试,买家咨询商品区别,13,0.07692307692307693
21,104,1,买家表示先买来试试,买家咨询退换货规则,13,0.07692307692307693
40,15,1,买家需要商品推荐,买家表示是老顾客,13,0.07692307692307693
40,27,1,买家需要商品推荐,买家表示有疑问/不理解,13,0.07692307692307693
40,54,1,买家需要商品推荐,买家咨询发货时间,13,0.07692307692307693
40,88,1,买家需要商品推荐,买家咨询商品是什么颜色,13,0.07692307692307693
59,22,1,买家咨询换货发货时间,买家表示需要退货退款,13,0.07692307692307693
59,73,1,买家咨询换货发货时间,买家咨询商家发货地,13,0.07692307692307693
59,104,1,买家咨询换货发货时间,买家咨询退换货规则,13,0.07692307692307693
72,28,1,买家咨询如何下单,买家表示再看看,13,0.07692307692307693
72,60,1,买家咨询如何下单,买家咨询活动规则,13,0.07692307692307693
72,78,1,买家咨询如何下单,买家咨询商品的色差问题,13,0.07692307692307693
72,102,1,买家咨询如何下单,买家咨询是否有味道,13,0.07692307692307693
75,1,1,买家咨询商品包装,买家表达不满/生气,13,0.07692307692307693
75,78,1,买家咨询商品包装,买家咨询商品的色差问题,13,0.07692307692307693
106,8,1,买家咨询退换货支持快递,买家表示马上下单付款,13,0.07692307692307693
106,20,1,买家咨询退换货支持快递,买家表示物流太慢了,13,0.07692307692307693
106,84,1,买家咨询退换货支持快递,买家咨询商品是不是预售款,13,0.07692307692307693
106,98,1,买家咨询退换货支持快递,买家咨询是否有好评返现,13,0.07692307692307693
106,114,1,买家咨询退换货支持快递,买家咨询运费险赔付规则,13,0.07692307692307693
4,29,1,买家表示地址正确,买家催促发货,14,0.07142857142857142
4,40,1,买家表示地址正确,买家需要商品推荐,14,0.07142857142857142
4,47,1,买家表示地址正确,买家要求添加商家微信,14,0.07142857142857142
4,66,1,买家表示地址正确,买家咨询能否分开/一起发货,14,0.07142857142857142
4,67,1,买家表示地址正确,买家咨询能否开发票及发票类型和寄送时间,14,0.07142857142857142
4,108,1,买家表示地址正确,买家咨询退款金额,14,0.07142857142857142
12,20,1,买家表示商家发错货了,买家表示物流太慢了,14,0.07142857142857142
12,61,1,买家表示商家发错货了,买家咨询快递单号,14,0.07142857142857142
12,75,1,买家表示商家发错货了,买家咨询商品包装,14,0.07142857142857142
12,79,1,买家表示商家发错货了,买家咨询商品规格数量,14,0.07142857142857142
24,0,1,买家表示已经收到货了,买家抱怨商品涨价了,14,0.07142857142857142
24,25,1,买家表示已经收到货了,买家表示已下单付款,14,0.07142857142857142
24,90,1,买家表示已经收到货了,买家咨询商品重量,14,0.07142857142857142
26,10,1,买家表示优惠券无法使用,买家表示伤心难过,14,0.07142857142857142
26,22,1,买家表示优惠券无法使用,买家表示需要退货退款,14,0.07142857142857142
26,54,1,买家表示优惠券无法使用,买家咨询发货时间,14,0.07142857142857142
26,85,1,买家表示优惠券无法使用,买家咨询商品是否可以单买/单卖,14,0.07142857142857142
26,88,1,买家表示优惠券无法使用,买家咨询商品是什么颜色,14,0.07142857142857142
2,21,1,买家表达赞美/满意,买家表示先买来试试,15,0.06666666666666667
2,23,1,买家表达赞美/满意,买家表示要重拍,15,0.06666666666666667
2,38,1,买家表达赞美/满意,买家讨价还价,15,0.06666666666666667
2,48,1,买家表达赞美/满意,买家要求退运费,15,0.06666666666666667
2,60,1,买家表达赞美/满意,买家咨询活动规则,15,0.06666666666666667
2,64,1,买家表达赞美/满意,买家咨询能否到付,15,0.06666666666666667
50,9,1,买家要求延迟发货,买家表示拍错了,15,0.06666666666666667
50,31,1,买家要求延迟发货,买家打招呼,15,0.06666666666666667
50,51,1,买家要求延迟发货,买家要求延长收货时间,15,0.06666666666666667
50,60,1,买家要求延迟发货,买家咨询活动规则,15,0.06666666666666667
50,67,1,买家要求延迟发货,买家咨询能否开发票及发票类型和寄送时间,15,0.06666666666666667
50,99,1,买家要求延迟发货,买家咨询是否有活动,15,0.06666666666666667
93,48,1,买家咨询是否可以发顺丰,买家要求退运费,15,0.06666666666666667
114,27,1,买家咨询运费险赔付规则,买家表示有疑问/不理解,15,0.06666666666666667
114,54,1,买家咨询运费险赔付规则,买家咨询发货时间,15,0.06666666666666667
62,67,1,买家咨询买多件能否优惠,买家咨询能否开发票及发票类型和寄送时间,16,0.0625
62,74,1,买家咨询买多件能否优惠,买家咨询商家是否收到寄回的商品,16,0.0625
62,92,1,买家咨询买多件能否优惠,买家咨询是否可以打折,16,0.0625
66,7,1,买家咨询能否分开/一起发货,买家表示麻烦卖家，表达感谢,16,0.0625
110,8,1,买家咨询退款时间,买家表示马上下单付款,16,0.0625
110,24,1,买家咨询退款时间,买家表示已经收到货了,16,0.0625
110,52,1,买家咨询退款时间,买家咨询补货/上货时间,16,0.0625
