true_label,true_label_des,pred_label,pred_label_des,count
50,买家要求延迟发货,67,买家咨询能否开发票及发票类型和寄送时间,1
60,买家咨询活动规则,112,买家咨询优惠券使用规则,1
7,买家表示麻烦卖家，表达感谢,39,买家向商家表达不好意思,1
22,买家表示需要退货退款,106,买家咨询退换货支持快递,1
97,买家咨询是否可以指定快递,49,买家要求修改收件信息,1
111,买家咨询物流信息,92,买家咨询是否可以打折,1
10,买家表示伤心难过,24,买家表示已经收到货了,1
7,买家表示麻烦卖家，表达感谢,86,买家咨询商品是否有赠品,1
26,买家表示优惠券无法使用,85,买家咨询商品是否可以单买/单卖,1
82,买家咨询商品区别,60,买家咨询活动规则,1
0,买家抱怨商品涨价了,77,买家咨询商品的材质/面料,1
112,买家咨询优惠券使用规则,99,买家咨询是否有活动,1
57,买家咨询返现金额,30,买家催促回复,1
25,买家表示已下单付款,79,买家咨询商品规格数量,1
100,买家咨询是否有买家秀,99,买家咨询是否有活动,1
14,买家表示稍等,66,买家咨询能否分开/一起发货,1
95,买家咨询是否可以拒收,82,买家咨询商品区别,1
16,买家表示收件信息不需要修改了,78,买家咨询商品的色差问题,1
26,买家表示优惠券无法使用,88,买家咨询商品是什么颜色,1
0,买家抱怨商品涨价了,65,买家咨询能否定制,1
112,买家咨询优惠券使用规则,82,买家咨询商品区别,1
16,买家表示收件信息不需要修改了,47,买家要求添加商家微信,1
4,买家表示地址正确,78,买家咨询商品的色差问题,1
95,买家咨询是否可以拒收,93,买家咨询是否可以发顺丰,1
12,买家表示商家发错货了,88,买家咨询商品是什么颜色,1
98,买家咨询是否有好评返现,58,买家咨询返现时间,1
97,买家咨询是否可以指定快递,110,买家咨询退款时间,1
73,买家咨询商家发货地,111,买家咨询物流信息,1
72,买家咨询如何下单,62,买家咨询买多件能否优惠,1
55,买家咨询发什么快递,7,买家表示麻烦卖家，表达感谢,1
95,买家咨询是否可以拒收,114,买家咨询运费险赔付规则,1
92,买家咨询是否可以打折,62,买家咨询买多件能否优惠,1
90,买家咨询商品重量,113,买家咨询运费金额,1
104,买家咨询退换货规则,110,买家咨询退款时间,1
0,买家抱怨商品涨价了,60,买家咨询活动规则,1
76,买家咨询商品产地,1,买家表达不满/生气,1
2,买家表达赞美/满意,80,买家咨询商品价格,1
22,买家表示需要退货退款,7,买家表示麻烦卖家，表达感谢,1
89,买家咨询商品质量是否有保障,111,买家咨询物流信息,1
55,买家咨询发什么快递,97,买家咨询是否可以指定快递,1
14,买家表示稍等,106,买家咨询退换货支持快递,1
83,买家咨询商品上新时间,60,买家咨询活动规则,1
24,买家表示已经收到货了,0,买家抱怨商品涨价了,1
90,买家咨询商品重量,79,买家咨询商品规格数量,1
113,买家咨询运费金额,85,买家咨询商品是否可以单买/单卖,1
28,买家表示再看看,57,买家咨询返现金额,1
92,买家咨询是否可以打折,3,买家表示不想要了,1
108,买家咨询退款金额,97,买家咨询是否可以指定快递,1
0,买家抱怨商品涨价了,79,买家咨询商品规格数量,1
49,买家要求修改收件信息,14,买家表示稍等,1
22,买家表示需要退货退款,65,买家咨询能否定制,1
25,买家表示已下单付款,31,买家打招呼,1
83,买家咨询商品上新时间,29,买家催促发货,1
77,买家咨询商品的材质/面料,38,买家讨价还价,1
23,买家表示要重拍,84,买家咨询商品是不是预售款,1
95,买家咨询是否可以拒收,59,买家咨询换货发货时间,1
5,买家表示好的,20,买家表示物流太慢了,1
42,买家要求发货检查,61,买家咨询快递单号,1
24,买家表示已经收到货了,90,买家咨询商品重量,1
30,买家催促回复,65,买家咨询能否定制,1
3,买家表示不想要了,23,买家表示要重拍,1
8,买家表示马上下单付款,99,买家咨询是否有活动,1
86,买家咨询商品是否有赠品,17,买家表示送人的,1
19,买家表示无法下单,54,买家咨询发货时间,1
80,买家咨询商品价格,38,买家讨价还价,1
60,买家咨询活动规则,84,买家咨询商品是不是预售款,1
82,买家咨询商品区别,5,买家表示好的,1
77,买家咨询商品的材质/面料,92,买家咨询是否可以打折,1
33,买家发送结束语,75,买家咨询商品包装,1
35,买家发送支付宝账号,38,买家讨价还价,1
14,买家表示稍等,60,买家咨询活动规则,1
94,买家咨询是否可以改价,16,买家表示收件信息不需要修改了,1
4,买家表示地址正确,67,买家咨询能否开发票及发票类型和寄送时间,1
105,买家咨询退换货运费由谁承担,93,买家咨询是否可以发顺丰,1
6,买家表示具体时间寄回去,47,买家要求添加商家微信,1
10,买家表示伤心难过,36,买家反馈收到的商品有问题,1
5,买家表示好的,28,买家表示再看看,1
62,买家咨询买多件能否优惠,74,买家咨询商家是否收到寄回的商品,1
36,买家反馈收到的商品有问题,53,买家咨询到货时间,1
110,买家咨询退款时间,24,买家表示已经收到货了,1
5,买家表示好的,60,买家咨询活动规则,1
17,买家表示送人的,84,买家咨询商品是不是预售款,1
3,买家表示不想要了,29,买家催促发货,1
12,买家表示商家发错货了,61,买家咨询快递单号,1
64,买家咨询能否到付,90,买家咨询商品重量,1
61,买家咨询快递单号,110,买家咨询退款时间,1
38,买家讨价还价,82,买家咨询商品区别,1
11,买家表示商家发错地址,16,买家表示收件信息不需要修改了,1
55,买家咨询发什么快递,106,买家咨询退换货支持快递,1
11,买家表示商家发错地址,46,买家要求取消退换货退款,1
14,买家表示稍等,8,买家表示马上下单付款,1
53,买家咨询到货时间,80,买家咨询商品价格,1
82,买家咨询商品区别,36,买家反馈收到的商品有问题,1
60,买家咨询活动规则,58,买家咨询返现时间,1
44,买家要求改运费,98,买家咨询是否有好评返现,1
49,买家要求修改收件信息,25,买家表示已下单付款,1
98,买家咨询是否有好评返现,7,买家表示麻烦卖家，表达感谢,1
43,买家要求改商品信息,67,买家咨询能否开发票及发票类型和寄送时间,1
99,买家咨询是否有活动,86,买家咨询商品是否有赠品,1
72,买家咨询如何下单,28,买家表示再看看,1
9,买家表示拍错了,102,买家咨询是否有味道,1
77,买家咨询商品的材质/面料,103,买家咨询退换货地址,1
98,买家咨询是否有好评返现,94,买家咨询是否可以改价,1
13,买家表示商品已经寄回去了,61,买家咨询快递单号,1
98,买家咨询是否有好评返现,47,买家要求添加商家微信,1
77,买家咨询商品的材质/面料,1,买家表达不满/生气,1
27,买家表示有疑问/不理解,19,买家表示无法下单,1
47,买家要求添加商家微信,5,买家表示好的,1
58,买家咨询返现时间,92,买家咨询是否可以打折,1
75,买家咨询商品包装,78,买家咨询商品的色差问题,1
102,买家咨询是否有味道,114,买家咨询运费险赔付规则,1
47,买家要求添加商家微信,22,买家表示需要退货退款,1
105,买家咨询退换货运费由谁承担,104,买家咨询退换货规则,1
105,买家咨询退换货运费由谁承担,29,买家催促发货,1
70,买家咨询如何加入会员,113,买家咨询运费金额,1
51,买家要求延长收货时间,15,买家表示是老顾客,1
89,买家咨询商品质量是否有保障,20,买家表示物流太慢了,1
108,买家咨询退款金额,113,买家咨询运费金额,1
40,买家需要商品推荐,81,买家咨询商品具体尺码尺寸,1
88,买家咨询商品是什么颜色,80,买家咨询商品价格,1
59,买家咨询换货发货时间,22,买家表示需要退货退款,1
45,买家要求核对订单信息,93,买家咨询是否可以发顺丰,1
46,买家要求取消退换货退款,82,买家咨询商品区别,1
59,买家咨询换货发货时间,73,买家咨询商家发货地,1
86,买家咨询商品是否有赠品,33,买家发送结束语,1
21,买家表示先买来试试,89,买家咨询商品质量是否有保障,1
61,买家咨询快递单号,26,买家表示优惠券无法使用,1
104,买家咨询退换货规则,108,买家咨询退款金额,1
60,买家咨询活动规则,37,买家确认地址是否修改成功,1
82,买家咨询商品区别,80,买家咨询商品价格,1
95,买家咨询是否可以拒收,40,买家需要商品推荐,1
1,买家表达不满/生气,7,买家表示麻烦卖家，表达感谢,1
79,买家咨询商品规格数量,50,买家要求延迟发货,1
39,买家向商家表达不好意思,22,买家表示需要退货退款,1
54,买家咨询发货时间,79,买家咨询商品规格数量,1
38,买家讨价还价,62,买家咨询买多件能否优惠,1
34,买家发送开票信息,65,买家咨询能否定制,1
50,买家要求延迟发货,31,买家打招呼,1
40,买家需要商品推荐,54,买家咨询发货时间,1
79,买家咨询商品规格数量,38,买家讨价还价,1
0,买家抱怨商品涨价了,38,买家讨价还价,1
108,买家咨询退款金额,49,买家要求修改收件信息,1
79,买家咨询商品规格数量,40,买家需要商品推荐,1
1,买家表达不满/生气,93,买家咨询是否可以发顺丰,1
76,买家咨询商品产地,58,买家咨询返现时间,1
93,买家咨询是否可以发顺丰,48,买家要求退运费,1
42,买家要求发货检查,102,买家咨询是否有味道,1
116,买家咨询赠品是否可以自选,46,买家要求取消退换货退款,1
57,买家咨询返现金额,44,买家要求改运费,1
25,买家表示已下单付款,80,买家咨询商品价格,1
32,买家对特定款式/颜色表达喜好,88,买家咨询商品是什么颜色,1
116,买家咨询赠品是否可以自选,60,买家咨询活动规则,1
114,买家咨询运费险赔付规则,46,买家要求取消退换货退款,1
78,买家咨询商品的色差问题,61,买家咨询快递单号,1
54,买家咨询发货时间,7,买家表示麻烦卖家，表达感谢,1
112,买家咨询优惠券使用规则,86,买家咨询商品是否有赠品,1
108,买家咨询退款金额,57,买家咨询返现金额,1
2,买家表达赞美/满意,60,买家咨询活动规则,1
82,买家咨询商品区别,30,买家催促回复,1
60,买家咨询活动规则,55,买家咨询发什么快递,1
1,买家表达不满/生气,89,买家咨询商品质量是否有保障,1
81,买家咨询商品具体尺码尺寸,67,买家咨询能否开发票及发票类型和寄送时间,1
1,买家表达不满/生气,103,买家咨询退换货地址,1
23,买家表示要重拍,49,买家要求修改收件信息,1
97,买家咨询是否可以指定快递,105,买家咨询退换货运费由谁承担,1
23,买家表示要重拍,80,买家咨询商品价格,1
28,买家表示再看看,15,买家表示是老顾客,1
29,买家催促发货,62,买家咨询买多件能否优惠,1
17,买家表示送人的,29,买家催促发货,1
117,买家咨询自己的旺旺昵称,97,买家咨询是否可以指定快递,1
10,买家表示伤心难过,76,买家咨询商品产地,1
47,买家要求添加商家微信,84,买家咨询商品是不是预售款,1
43,买家要求改商品信息,0,买家抱怨商品涨价了,1
31,买家打招呼,75,买家咨询商品包装,1
4,买家表示地址正确,47,买家要求添加商家微信,1
72,买家咨询如何下单,78,买家咨询商品的色差问题,1
115,买家咨询赠品何时发货,99,买家咨询是否有活动,1
69,买家咨询偏远地区是否发货,2,买家表达赞美/满意,1
60,买家咨询活动规则,53,买家咨询到货时间,1
102,买家咨询是否有味道,24,买家表示已经收到货了,1
84,买家咨询商品是不是预售款,15,买家表示是老顾客,1
106,买家咨询退换货支持快递,92,买家咨询是否可以打折,1
43,买家要求改商品信息,15,买家表示是老顾客,1
53,买家咨询到货时间,24,买家表示已经收到货了,1
105,买家咨询退换货运费由谁承担,114,买家咨询运费险赔付规则,1
25,买家表示已下单付款,72,买家咨询如何下单,1
68,买家咨询能否提前享受优惠,65,买家咨询能否定制,1
54,买家咨询发货时间,60,买家咨询活动规则,1
21,买家表示先买来试试,62,买家咨询买多件能否优惠,1
70,买家咨询如何加入会员,60,买家咨询活动规则,1
106,买家咨询退换货支持快递,55,买家咨询发什么快递,1
94,买家咨询是否可以改价,3,买家表示不想要了,1
74,买家咨询商家是否收到寄回的商品,49,买家要求修改收件信息,1
14,买家表示稍等,43,买家要求改商品信息,1
77,买家咨询商品的材质/面料,23,买家表示要重拍,1
106,买家咨询退换货支持快递,114,买家咨询运费险赔付规则,1
100,买家咨询是否有买家秀,98,买家咨询是否有好评返现,1
20,买家表示物流太慢了,62,买家咨询买多件能否优惠,1
111,买家咨询物流信息,5,买家表示好的,1
40,买家需要商品推荐,78,买家咨询商品的色差问题,1
6,买家表示具体时间寄回去,67,买家咨询能否开发票及发票类型和寄送时间,1
30,买家催促回复,22,买家表示需要退货退款,1
105,买家咨询退换货运费由谁承担,64,买家咨询能否到付,1
52,买家咨询补货/上货时间,87,买家咨询商品是否有质保，质保多久,1
12,买家表示商家发错货了,79,买家咨询商品规格数量,1
29,买家催促发货,53,买家咨询到货时间,1
77,买家咨询商品的材质/面料,80,买家咨询商品价格,1
21,买家表示先买来试试,72,买家咨询如何下单,1
39,买家向商家表达不好意思,98,买家咨询是否有好评返现,1
89,买家咨询商品质量是否有保障,107,买家咨询退货退款原因选什么,1
35,买家发送支付宝账号,79,买家咨询商品规格数量,1
74,买家咨询商家是否收到寄回的商品,13,买家表示商品已经寄回去了,1
97,买家咨询是否可以指定快递,55,买家咨询发什么快递,1
79,买家咨询商品规格数量,75,买家咨询商品包装,1
5,买家表示好的,2,买家表达赞美/满意,1
21,买家表示先买来试试,74,买家咨询商家是否收到寄回的商品,1
60,买家咨询活动规则,15,买家表示是老顾客,1
6,买家表示具体时间寄回去,20,买家表示物流太慢了,1
77,买家咨询商品的材质/面料,60,买家咨询活动规则,1
18,买家表示无法申请退款,104,买家咨询退换货规则,1
67,买家咨询能否开发票及发票类型和寄送时间,71,买家咨询如何领取优惠券,1
47,买家要求添加商家微信,61,买家咨询快递单号,1
34,买家发送开票信息,25,买家表示已下单付款,1
115,买家咨询赠品何时发货,105,买家咨询退换货运费由谁承担,1
61,买家咨询快递单号,82,买家咨询商品区别,1
32,买家对特定款式/颜色表达喜好,10,买家表示伤心难过,1
15,买家表示是老顾客,25,买家表示已下单付款,1
64,买家咨询能否到付,94,买家咨询是否可以改价,1
110,买家咨询退款时间,106,买家咨询退换货支持快递,1
82,买家咨询商品区别,106,买家咨询退换货支持快递,1
37,买家确认地址是否修改成功,43,买家要求改商品信息,1
15,买家表示是老顾客,60,买家咨询活动规则,1
9,买家表示拍错了,60,买家咨询活动规则,1
48,买家要求退运费,102,买家咨询是否有味道,1
75,买家咨询商品包装,98,买家咨询是否有好评返现,1
104,买家咨询退换货规则,19,买家表示无法下单,1
2,买家表达赞美/满意,64,买家咨询能否到付,1
34,买家发送开票信息,73,买家咨询商家发货地,1
2,买家表达赞美/满意,21,买家表示先买来试试,1
6,买家表示具体时间寄回去,95,买家咨询是否可以拒收,1
98,买家咨询是否有好评返现,60,买家咨询活动规则,1
61,买家咨询快递单号,29,买家催促发货,1
51,买家要求延长收货时间,53,买家咨询到货时间,1
56,买家咨询返现方式,97,买家咨询是否可以指定快递,1
60,买家咨询活动规则,64,买家咨询能否到付,1
18,买家表示无法申请退款,29,买家催促发货,1
10,买家表示伤心难过,61,买家咨询快递单号,1
73,买家咨询商家发货地,92,买家咨询是否可以打折,1
37,买家确认地址是否修改成功,7,买家表示麻烦卖家，表达感谢,1
87,买家咨询商品是否有质保，质保多久,113,买家咨询运费金额,1
56,买家咨询返现方式,75,买家咨询商品包装,1
101,买家咨询是否有实体店,43,买家要求改商品信息,1
45,买家要求核对订单信息,12,买家表示商家发错货了,1
86,买家咨询商品是否有赠品,37,买家确认地址是否修改成功,1
20,买家表示物流太慢了,24,买家表示已经收到货了,1
31,买家打招呼,5,买家表示好的,1
90,买家咨询商品重量,55,买家咨询发什么快递,1
23,买家表示要重拍,62,买家咨询买多件能否优惠,1
14,买家表示稍等,80,买家咨询商品价格,1
35,买家发送支付宝账号,56,买家咨询返现方式,1
105,买家咨询退换货运费由谁承担,54,买家咨询发货时间,1
55,买家咨询发什么快递,66,买家咨询能否分开/一起发货,1
32,买家对特定款式/颜色表达喜好,49,买家要求修改收件信息,1
30,买家催促回复,5,买家表示好的,1
37,买家确认地址是否修改成功,49,买家要求修改收件信息,1
60,买家咨询活动规则,0,买家抱怨商品涨价了,1
29,买家催促发货,20,买家表示物流太慢了,1
91,买家咨询什么颜色好看,89,买家咨询商品质量是否有保障,1
63,买家咨询哪款更好,22,买家表示需要退货退款,1
86,买家咨询商品是否有赠品,60,买家咨询活动规则,1
18,买家表示无法申请退款,108,买家咨询退款金额,1
38,买家讨价还价,43,买家要求改商品信息,1
81,买家咨询商品具体尺码尺寸,60,买家咨询活动规则,1
105,买家咨询退换货运费由谁承担,44,买家要求改运费,1
32,买家对特定款式/颜色表达喜好,2,买家表达赞美/满意,1
76,买家咨询商品产地,30,买家催促回复,1
36,买家反馈收到的商品有问题,1,买家表达不满/生气,1
106,买家咨询退换货支持快递,84,买家咨询商品是不是预售款,1
17,买家表示送人的,6,买家表示具体时间寄回去,1
88,买家咨询商品是什么颜色,60,买家咨询活动规则,1
37,买家确认地址是否修改成功,93,买家咨询是否可以发顺丰,1
54,买家咨询发货时间,22,买家表示需要退货退款,1
6,买家表示具体时间寄回去,79,买家咨询商品规格数量,1
41,买家要求补偿,2,买家表达赞美/满意,1
9,买家表示拍错了,32,买家对特定款式/颜色表达喜好,1
7,买家表示麻烦卖家，表达感谢,88,买家咨询商品是什么颜色,1
74,买家咨询商家是否收到寄回的商品,44,买家要求改运费,1
4,买家表示地址正确,108,买家咨询退款金额,1
100,买家咨询是否有买家秀,0,买家抱怨商品涨价了,1
23,买家表示要重拍,97,买家咨询是否可以指定快递,1
86,买家咨询商品是否有赠品,108,买家咨询退款金额,1
52,买家咨询补货/上货时间,58,买家咨询返现时间,1
42,买家要求发货检查,37,买家确认地址是否修改成功,1
52,买家咨询补货/上货时间,83,买家咨询商品上新时间,1
23,买家表示要重拍,59,买家咨询换货发货时间,1
94,买家咨询是否可以改价,39,买家向商家表达不好意思,1
23,买家表示要重拍,25,买家表示已下单付款,1
80,买家咨询商品价格,41,买家要求补偿,1
92,买家咨询是否可以打折,1,买家表达不满/生气,1
18,买家表示无法申请退款,106,买家咨询退换货支持快递,1
63,买家咨询哪款更好,107,买家咨询退货退款原因选什么,1
23,买家表示要重拍,19,买家表示无法下单,1
16,买家表示收件信息不需要修改了,21,买家表示先买来试试,1
115,买家咨询赠品何时发货,82,买家咨询商品区别,1
68,买家咨询能否提前享受优惠,20,买家表示物流太慢了,1
13,买家表示商品已经寄回去了,60,买家咨询活动规则,1
17,买家表示送人的,80,买家咨询商品价格,1
32,买家对特定款式/颜色表达喜好,77,买家咨询商品的材质/面料,1
12,买家表示商家发错货了,20,买家表示物流太慢了,1
87,买家咨询商品是否有质保，质保多久,114,买家咨询运费险赔付规则,1
1,买家表达不满/生气,15,买家表示是老顾客,1
3,买家表示不想要了,92,买家咨询是否可以打折,1
29,买家催促发货,37,买家确认地址是否修改成功,1
43,买家要求改商品信息,104,买家咨询退换货规则,1
