label_a,label_b,a_to_b,b_to_a,total_confusion,label_a_des,label_b_des
69,74,0,1,1,买家咨询偏远地区是否发货,买家咨询商家是否收到寄回的商品
71,104,1,0,1,买家咨询如何领取优惠券,买家咨询退换货规则
65,71,0,1,1,买家咨询能否定制,买家咨询如何领取优惠券
53,80,1,0,1,买家咨询到货时间,买家咨询商品价格
53,73,1,0,1,买家咨询到货时间,买家咨询商家发货地
9,53,0,1,1,买家表示拍错了,买家咨询到货时间
46,82,1,0,1,买家要求取消退换货退款,买家咨询商品区别
3,46,0,1,1,买家表示不想要了,买家要求取消退换货退款
25,104,1,0,1,买家表示已下单付款,买家咨询退换货规则
25,89,1,0,1,买家表示已下单付款,买家咨询商品质量是否有保障
25,79,1,0,1,买家表示已下单付款,买家咨询商品规格数量
25,72,1,0,1,买家表示已下单付款,买家咨询如何下单
25,60,1,0,1,买家表示已下单付款,买家咨询活动规则
25,31,1,0,1,买家表示已下单付款,买家打招呼
0,43,0,1,1,买家抱怨商品涨价了,买家要求改商品信息
53,110,0,1,1,买家咨询到货时间,买家咨询退款时间
5,97,1,0,1,买家表示好的,买家咨询是否可以指定快递
2,38,1,0,1,买家表达赞美/满意,买家讨价还价
62,67,1,0,1,买家咨询买多件能否优惠,买家咨询能否开发票及发票类型和寄送时间
54,114,0,1,1,买家咨询发货时间,买家咨询运费险赔付规则
27,114,0,1,1,买家表示有疑问/不理解,买家咨询运费险赔付规则
48,93,0,1,1,买家要求退运费,买家咨询是否可以发顺丰
50,99,1,0,1,买家要求延迟发货,买家咨询是否有活动
50,67,1,0,1,买家要求延迟发货,买家咨询能否开发票及发票类型和寄送时间
50,60,1,0,1,买家要求延迟发货,买家咨询活动规则
50,51,1,0,1,买家要求延迟发货,买家要求延长收货时间
31,50,0,1,1,买家打招呼,买家要求延迟发货
9,50,0,1,1,买家表示拍错了,买家要求延迟发货
2,64,1,0,1,买家表达赞美/满意,买家咨询能否到付
2,60,1,0,1,买家表达赞美/满意,买家咨询活动规则
2,48,1,0,1,买家表达赞美/满意,买家要求退运费
2,23,1,0,1,买家表达赞美/满意,买家表示要重拍
5,92,1,0,1,买家表示好的,买家咨询是否可以打折
2,21,1,0,1,买家表达赞美/满意,买家表示先买来试试
26,88,1,0,1,买家表示优惠券无法使用,买家咨询商品是什么颜色
26,85,1,0,1,买家表示优惠券无法使用,买家咨询商品是否可以单买/单卖
26,54,1,0,1,买家表示优惠券无法使用,买家咨询发货时间
22,26,0,1,1,买家表示需要退货退款,买家表示优惠券无法使用
10,26,0,1,1,买家表示伤心难过,买家表示优惠券无法使用
24,90,1,0,1,买家表示已经收到货了,买家咨询商品重量
24,25,1,0,1,买家表示已经收到货了,买家表示已下单付款
0,24,0,1,1,买家抱怨商品涨价了,买家表示已经收到货了
12,79,1,0,1,买家表示商家发错货了,买家咨询商品规格数量
12,75,1,0,1,买家表示商家发错货了,买家咨询商品包装
12,61,1,0,1,买家表示商家发错货了,买家咨询快递单号
12,20,1,0,1,买家表示商家发错货了,买家表示物流太慢了
62,74,1,0,1,买家咨询买多件能否优惠,买家咨询商家是否收到寄回的商品
62,92,1,0,1,买家咨询买多件能否优惠,买家咨询是否可以打折
7,66,0,1,1,买家表示麻烦卖家，表达感谢,买家咨询能否分开/一起发货
8,110,0,1,1,买家表示马上下单付款,买家咨询退款时间
5,79,1,0,1,买家表示好的,买家咨询商品规格数量
5,60,1,0,1,买家表示好的,买家咨询活动规则
5,40,1,0,1,买家表示好的,买家需要商品推荐
5,28,1,0,1,买家表示好的,买家表示再看看
5,20,1,0,1,买家表示好的,买家表示物流太慢了
2,5,0,1,1,买家表达赞美/满意,买家表示好的
94,98,0,1,1,买家咨询是否可以改价,买家咨询是否有好评返现
48,98,0,1,1,买家要求退运费,买家咨询是否有好评返现
47,98,0,1,1,买家要求添加商家微信,买家咨询是否有好评返现
38,98,0,1,1,买家讨价还价,买家咨询是否有好评返现
7,98,0,1,1,买家表示麻烦卖家，表达感谢,买家咨询是否有好评返现
19,88,0,1,1,买家表示无法下单,买家咨询商品是什么颜色
61,78,0,1,1,买家咨询快递单号,买家咨询商品的色差问题
60,78,0,1,1,买家咨询活动规则,买家咨询商品的色差问题
60,92,0,1,1,买家咨询活动规则,买家咨询是否可以打折
29,92,0,1,1,买家催促发货,买家咨询是否可以打折
1,92,0,1,1,买家表达不满/生气,买家咨询是否可以打折
0,92,0,1,1,买家抱怨商品涨价了,买家咨询是否可以打折
9,102,1,0,1,买家表示拍错了,买家咨询是否有味道
9,60,1,0,1,买家表示拍错了,买家咨询活动规则
9,39,1,0,1,买家表示拍错了,买家向商家表达不好意思
9,32,1,0,1,买家表示拍错了,买家对特定款式/颜色表达喜好
108,110,0,1,1,买家咨询退款金额,买家咨询退款时间
106,110,0,1,1,买家咨询退换货支持快递,买家咨询退款时间
31,97,1,0,1,买家打招呼,买家咨询是否可以指定快递
52,110,0,1,1,买家咨询补货/上货时间,买家咨询退款时间
24,110,0,1,1,买家表示已经收到货了,买家咨询退款时间
31,75,1,0,1,买家打招呼,买家咨询商品包装
19,23,0,1,1,买家表示无法下单,买家表示要重拍
1,77,0,1,1,买家表达不满/生气,买家咨询商品的材质/面料
1,99,0,1,1,买家表达不满/生气,买家咨询是否有活动
42,90,0,1,1,买家要求发货检查,买家咨询商品重量
86,97,1,0,1,买家咨询商品是否有赠品,买家咨询是否可以指定快递
86,87,1,0,1,买家咨询商品是否有赠品,买家咨询商品是否有质保，质保多久
82,86,0,1,1,买家咨询商品区别,买家咨询商品是否有赠品
75,86,0,1,1,买家咨询商品包装,买家咨询商品是否有赠品
50,86,0,1,1,买家要求延迟发货,买家咨询商品是否有赠品
49,86,0,1,1,买家要求修改收件信息,买家咨询商品是否有赠品
20,86,0,1,1,买家表示物流太慢了,买家咨询商品是否有赠品
1,86,0,1,1,买家表达不满/生气,买家咨询商品是否有赠品
94,99,0,1,1,买家咨询是否可以改价,买家咨询是否有活动
86,99,0,1,1,买家咨询商品是否有赠品,买家咨询是否有活动
49,99,0,1,1,买家要求修改收件信息,买家咨询是否有活动
38,99,0,1,1,买家讨价还价,买家咨询是否有活动
97,111,1,0,1,买家咨询是否可以指定快递,买家咨询物流信息
75,90,0,1,1,买家咨询商品包装,买家咨询商品重量
97,105,1,0,1,买家咨询是否可以指定快递,买家咨询退换货运费由谁承担
73,97,0,1,1,买家咨询商家发货地,买家咨询是否可以指定快递
49,97,0,1,1,买家要求修改收件信息,买家咨询是否可以指定快递
48,97,0,1,1,买家要求退运费,买家咨询是否可以指定快递
24,97,0,1,1,买家表示已经收到货了,买家咨询是否可以指定快递
6,97,0,1,1,买家表示具体时间寄回去,买家咨询是否可以指定快递
49,103,1,0,1,买家要求修改收件信息,买家咨询退换货地址
49,66,1,0,1,买家要求修改收件信息,买家咨询能否分开/一起发货
35,49,0,1,1,买家发送支付宝账号,买家要求修改收件信息
25,49,0,1,1,买家表示已下单付款,买家要求修改收件信息
14,49,0,1,1,买家表示稍等,买家要求修改收件信息
67,71,1,0,1,买家咨询能否开发票及发票类型和寄送时间,买家咨询如何领取优惠券
66,67,0,1,1,买家咨询能否分开/一起发货,买家咨询能否开发票及发票类型和寄送时间
55,90,0,1,1,买家咨询发什么快递,买家咨询商品重量
80,90,0,1,1,买家咨询商品价格,买家咨询商品重量
23,77,0,1,1,买家表示要重拍,买家咨询商品的材质/面料
1,108,1,0,1,买家表达不满/生气,买家咨询退款金额
60,79,1,0,1,买家咨询活动规则,买家咨询商品规格数量
60,64,1,0,1,买家咨询活动规则,买家咨询能否到付
56,60,0,1,1,买家咨询返现方式,买家咨询活动规则
52,60,0,1,1,买家咨询补货/上货时间,买家咨询活动规则
26,60,0,1,1,买家表示优惠券无法使用,买家咨询活动规则
82,97,1,0,1,买家咨询商品区别,买家咨询是否可以指定快递
82,88,1,0,1,买家咨询商品区别,买家咨询商品是什么颜色
77,82,0,1,1,买家咨询商品的材质/面料,买家咨询商品区别
75,82,0,1,1,买家咨询商品包装,买家咨询商品区别
60,82,0,1,1,买家咨询活动规则,买家咨询商品区别
40,82,0,1,1,买家需要商品推荐,买家咨询商品区别
36,82,0,1,1,买家反馈收到的商品有问题,买家咨询商品区别
5,82,0,1,1,买家表示好的,买家咨询商品区别
1,106,1,0,1,买家表达不满/生气,买家咨询退换货支持快递
90,97,1,0,1,买家咨询商品重量,买家咨询是否可以指定快递
1,93,1,0,1,买家表达不满/生气,买家咨询是否可以发顺丰
1,89,1,0,1,买家表达不满/生气,买家咨询商品质量是否有保障
1,61,1,0,1,买家表达不满/生气,买家咨询快递单号
1,48,1,0,1,买家表达不满/生气,买家要求退运费
1,41,1,0,1,买家表达不满/生气,买家要求补偿
1,20,1,0,1,买家表达不满/生气,买家表示物流太慢了
1,13,1,0,1,买家表达不满/生气,买家表示商品已经寄回去了
1,12,1,0,1,买家表达不满/生气,买家表示商家发错货了
1,9,1,0,1,买家表达不满/生气,买家表示拍错了
1,7,1,0,1,买家表达不满/生气,买家表示麻烦卖家，表达感谢
1,3,1,0,1,买家表达不满/生气,买家表示不想要了
1,2,1,0,1,买家表达不满/生气,买家表达赞美/满意
90,113,1,0,1,买家咨询商品重量,买家咨询运费金额
22,67,0,1,1,买家表示需要退货退款,买家咨询能否开发票及发票类型和寄送时间
79,80,1,0,1,买家咨询商品规格数量,买家咨询商品价格
71,79,0,1,1,买家咨询如何领取优惠券,买家咨询商品规格数量
7,60,1,0,1,买家表示麻烦卖家，表达感谢,买家咨询活动规则
4,67,1,0,1,买家表示地址正确,买家咨询能否开发票及发票类型和寄送时间
8,23,0,1,1,买家表示马上下单付款,买家表示要重拍
52,113,1,0,1,买家咨询补货/上货时间,买家咨询运费金额
52,99,1,0,1,买家咨询补货/上货时间,买家咨询是否有活动
52,93,1,0,1,买家咨询补货/上货时间,买家咨询是否可以发顺丰
52,87,1,0,1,买家咨询补货/上货时间,买家咨询商品是否有质保，质保多久
52,82,1,0,1,买家咨询补货/上货时间,买家咨询商品区别
52,68,1,0,1,买家咨询补货/上货时间,买家咨询能否提前享受优惠
52,58,1,0,1,买家咨询补货/上货时间,买家咨询返现时间
32,52,0,1,1,买家对特定款式/颜色表达喜好,买家咨询补货/上货时间
15,52,0,1,1,买家表示是老顾客,买家咨询补货/上货时间
1,52,0,1,1,买家表达不满/生气,买家咨询补货/上货时间
7,88,1,0,1,买家表示麻烦卖家，表达感谢,买家咨询商品是什么颜色
7,25,1,0,1,买家表示麻烦卖家，表达感谢,买家表示已下单付款
50,79,0,1,1,买家要求延迟发货,买家咨询商品规格数量
7,23,1,0,1,买家表示麻烦卖家，表达感谢,买家表示要重拍
7,21,1,0,1,买家表示麻烦卖家，表达感谢,买家表示先买来试试
109,111,0,1,1,买家咨询退款去向,买家咨询物流信息
92,111,0,1,1,买家咨询是否可以打折,买家咨询物流信息
60,111,0,1,1,买家咨询活动规则,买家咨询物流信息
46,111,0,1,1,买家要求取消退换货退款,买家咨询物流信息
40,111,0,1,1,买家需要商品推荐,买家咨询物流信息
25,111,0,1,1,买家表示已下单付款,买家咨询物流信息
6,111,0,1,1,买家表示具体时间寄回去,买家咨询物流信息
77,103,1,0,1,买家咨询商品的材质/面料,买家咨询退换货地址
77,92,1,0,1,买家咨询商品的材质/面料,买家咨询是否可以打折
77,86,1,0,1,买家咨询商品的材质/面料,买家咨询商品是否有赠品
77,81,1,0,1,买家咨询商品的材质/面料,买家咨询商品具体尺码尺寸
23,49,1,0,1,买家表示要重拍,买家要求修改收件信息
23,62,1,0,1,买家表示要重拍,买家咨询买多件能否优惠
23,84,1,0,1,买家表示要重拍,买家咨询商品是不是预售款
23,90,1,0,1,买家表示要重拍,买家咨询商品重量
38,79,0,1,1,买家讨价还价,买家咨询商品规格数量
54,79,1,0,1,买家咨询发货时间,买家咨询商品规格数量
54,69,1,0,1,买家咨询发货时间,买家咨询偏远地区是否发货
54,60,1,0,1,买家咨询发货时间,买家咨询活动规则
53,54,0,1,1,买家咨询到货时间,买家咨询发货时间
50,54,0,1,1,买家要求延迟发货,买家咨询发货时间
22,54,0,1,1,买家表示需要退货退款,买家咨询发货时间
7,54,0,1,1,买家表示麻烦卖家，表达感谢,买家咨询发货时间
22,108,1,0,1,买家表示需要退货退款,买家咨询退款金额
22,77,1,0,1,买家表示需要退货退款,买家咨询商品的材质/面料
22,27,1,0,1,买家表示需要退货退款,买家表示有疑问/不理解
7,22,0,1,1,买家表示麻烦卖家，表达感谢,买家表示需要退货退款
29,62,1,0,1,买家催促发货,买家咨询买多件能否优惠
29,53,1,0,1,买家催促发货,买家咨询到货时间
29,50,1,0,1,买家催促发货,买家要求延迟发货
29,49,1,0,1,买家催促发货,买家要求修改收件信息
25,29,0,1,1,买家表示已下单付款,买家催促发货
20,29,0,1,1,买家表示物流太慢了,买家催促发货
93,105,0,1,1,买家咨询是否可以发顺丰,买家咨询退换货运费由谁承担
64,105,0,1,1,买家咨询能否到付,买家咨询退换货运费由谁承担
54,105,0,1,1,买家咨询发货时间,买家咨询退换货运费由谁承担
29,105,0,1,1,买家催促发货,买家咨询退换货运费由谁承担
14,105,0,1,1,买家表示稍等,买家咨询退换货运费由谁承担
65,82,1,0,1,买家咨询能否定制,买家咨询商品区别
12,65,0,1,1,买家表示商家发错货了,买家咨询能否定制
23,104,1,0,1,买家表示要重拍,买家咨询退换货规则
23,97,1,0,1,买家表示要重拍,买家咨询是否可以指定快递
4,108,1,0,1,买家表示地址正确,买家咨询退款金额
41,80,0,1,1,买家要求补偿,买家咨询商品价格
4,66,1,0,1,买家表示地址正确,买家咨询能否分开/一起发货
6,17,0,1,1,买家表示具体时间寄回去,买家表示送人的
33,67,1,0,1,买家发送结束语,买家咨询能否开发票及发票类型和寄送时间
33,54,1,0,1,买家发送结束语,买家咨询发货时间
27,33,0,1,1,买家表示有疑问/不理解,买家发送结束语
25,33,0,1,1,买家表示已下单付款,买家发送结束语
7,33,0,1,1,买家表示麻烦卖家，表达感谢,买家发送结束语
20,27,0,1,1,买家表示物流太慢了,买家表示有疑问/不理解
19,27,0,1,1,买家表示无法下单,买家表示有疑问/不理解
13,27,0,1,1,买家表示商品已经寄回去了,买家表示有疑问/不理解
5,27,0,1,1,买家表示好的,买家表示有疑问/不理解
17,80,1,0,1,买家表示送人的,买家咨询商品价格
17,71,1,0,1,买家表示送人的,买家咨询如何领取优惠券
17,29,1,0,1,买家表示送人的,买家催促发货
8,17,0,1,1,买家表示马上下单付款,买家表示送人的
10,112,1,0,1,买家表示伤心难过,买家咨询优惠券使用规则
63,111,1,0,1,买家咨询哪款更好,买家咨询物流信息
10,105,1,0,1,买家表示伤心难过,买家咨询退换货运费由谁承担
10,76,1,0,1,买家表示伤心难过,买家咨询商品产地
10,61,1,0,1,买家表示伤心难过,买家咨询快递单号
10,36,1,0,1,买家表示伤心难过,买家反馈收到的商品有问题
10,24,1,0,1,买家表示伤心难过,买家表示已经收到货了
105,115,0,1,1,买家咨询退换货运费由谁承担,买家咨询赠品何时发货
99,115,0,1,1,买家咨询是否有活动,买家咨询赠品何时发货
82,115,0,1,1,买家咨询商品区别,买家咨询赠品何时发货
54,115,0,1,1,买家咨询发货时间,买家咨询赠品何时发货
21,115,0,1,1,买家表示先买来试试,买家咨询赠品何时发货
5,115,0,1,1,买家表示好的,买家咨询赠品何时发货
96,109,0,1,1,买家咨询是否可以微信支付,买家咨询退款去向
90,109,0,1,1,买家咨询商品重量,买家咨询退款去向
33,75,1,0,1,买家发送结束语,买家咨询商品包装
7,39,0,1,1,买家表示麻烦卖家，表达感谢,买家向商家表达不好意思
22,39,0,1,1,买家表示需要退货退款,买家向商家表达不好意思
39,82,1,0,1,买家向商家表达不好意思,买家咨询商品区别
95,105,1,0,1,买家咨询是否可以拒收,买家咨询退换货运费由谁承担
93,95,0,1,1,买家咨询是否可以发顺丰,买家咨询是否可以拒收
82,95,0,1,1,买家咨询商品区别,买家咨询是否可以拒收
77,95,0,1,1,买家咨询商品的材质/面料,买家咨询是否可以拒收
52,95,0,1,1,买家咨询补货/上货时间,买家咨询是否可以拒收
40,95,0,1,1,买家需要商品推荐,买家咨询是否可以拒收
23,95,0,1,1,买家表示要重拍,买家咨询是否可以拒收
73,76,0,1,1,买家咨询商家发货地,买家咨询商品产地
58,76,0,1,1,买家咨询返现时间,买家咨询商品产地
30,76,0,1,1,买家催促回复,买家咨询商品产地
9,76,0,1,1,买家表示拍错了,买家咨询商品产地
7,76,0,1,1,买家表示麻烦卖家，表达感谢,买家咨询商品产地
51,66,1,0,1,买家要求延长收货时间,买家咨询能否分开/一起发货
51,53,1,0,1,买家要求延长收货时间,买家咨询到货时间
49,51,0,1,1,买家要求修改收件信息,买家要求延长收货时间
32,51,0,1,1,买家对特定款式/颜色表达喜好,买家要求延长收货时间
37,93,1,0,1,买家确认地址是否修改成功,买家咨询是否可以发顺丰
37,43,1,0,1,买家确认地址是否修改成功,买家要求改商品信息
7,37,0,1,1,买家表示麻烦卖家，表达感谢,买家确认地址是否修改成功
16,97,1,0,1,买家表示收件信息不需要修改了,买家咨询是否可以指定快递
16,91,1,0,1,买家表示收件信息不需要修改了,买家咨询什么颜色好看
16,78,1,0,1,买家表示收件信息不需要修改了,买家咨询商品的色差问题
16,47,1,0,1,买家表示收件信息不需要修改了,买家要求添加商家微信
16,21,1,0,1,买家表示收件信息不需要修改了,买家表示先买来试试
44,98,1,0,1,买家要求改运费,买家咨询是否有好评返现
44,53,1,0,1,买家要求改运费,买家咨询到货时间
2,44,0,1,1,买家表达赞美/满意,买家要求改运费
85,111,1,0,1,买家咨询商品是否可以单买/单卖,买家咨询物流信息
63,107,1,0,1,买家咨询哪款更好,买家咨询退货退款原因选什么
4,47,1,0,1,买家表示地址正确,买家要求添加商家微信
65,91,0,1,1,买家咨询能否定制,买家咨询什么颜色好看
1,96,0,1,1,买家表达不满/生气,买家咨询是否可以微信支付
84,105,1,0,1,买家咨询商品是不是预售款,买家咨询退换货运费由谁承担
15,84,0,1,1,买家表示是老顾客,买家咨询商品是不是预售款
41,97,1,0,1,买家要求补偿,买家咨询是否可以指定快递
2,41,0,1,1,买家表达赞美/满意,买家要求补偿
34,73,1,0,1,买家发送开票信息,买家咨询商家发货地
34,65,1,0,1,买家发送开票信息,买家咨询能否定制
25,34,0,1,1,买家表示已下单付款,买家发送开票信息
7,34,0,1,1,买家表示麻烦卖家，表达感谢,买家发送开票信息
97,117,0,1,1,买家咨询是否可以指定快递,买家咨询自己的旺旺昵称
90,117,0,1,1,买家咨询商品重量,买家咨询自己的旺旺昵称
86,117,0,1,1,买家咨询商品是否有赠品,买家咨询自己的旺旺昵称
89,91,0,1,1,买家咨询商品质量是否有保障,买家咨询什么颜色好看
29,91,0,1,1,买家催促发货,买家咨询什么颜色好看
60,63,0,1,1,买家咨询活动规则,买家咨询哪款更好
70,113,1,0,1,买家咨询如何加入会员,买家咨询运费金额
70,106,1,0,1,买家咨询如何加入会员,买家咨询退换货支持快递
60,70,0,1,1,买家咨询活动规则,买家咨询如何加入会员
65,68,0,1,1,买家咨询能否定制,买家咨询能否提前享受优惠
20,68,0,1,1,买家表示物流太慢了,买家咨询能否提前享受优惠
12,68,0,1,1,买家表示商家发错货了,买家咨询能否提前享受优惠
60,116,0,1,1,买家咨询活动规则,买家咨询赠品是否可以自选
46,116,0,1,1,买家要求取消退换货退款,买家咨询赠品是否可以自选
86,107,0,1,1,买家咨询商品是否有赠品,买家咨询退货退款原因选什么
28,107,0,1,1,买家表示再看看,买家咨询退货退款原因选什么
11,49,1,0,1,买家表示商家发错地址,买家要求修改收件信息
11,46,1,0,1,买家表示商家发错地址,买家要求取消退换货退款
43,101,0,1,1,买家要求改商品信息,买家咨询是否有实体店
0,100,0,1,1,买家抱怨商品涨价了,买家咨询是否有买家秀
57,100,0,1,1,买家咨询返现金额,买家咨询是否有买家秀
71,100,0,1,1,买家咨询如何领取优惠券,买家咨询是否有买家秀
98,100,0,1,1,买家咨询是否有好评返现,买家咨询是否有买家秀
49,63,0,1,1,买家要求修改收件信息,买家咨询哪款更好
22,63,0,1,1,买家表示需要退货退款,买家咨询哪款更好
5,63,0,1,1,买家表示好的,买家咨询哪款更好
42,102,1,0,1,买家要求发货检查,买家咨询是否有味道
42,89,1,0,1,买家要求发货检查,买家咨询商品质量是否有保障
42,75,1,0,1,买家要求发货检查,买家咨询商品包装
42,61,1,0,1,买家要求发货检查,买家咨询快递单号
42,49,1,0,1,买家要求发货检查,买家要求修改收件信息
35,98,1,0,1,买家发送支付宝账号,买家咨询是否有好评返现
