id,sentence,old_label,old_label_des,new_label,new_label_des
6909,你好，床单款和床笠款有什么区别？,30,买家催促回复,82,买家咨询商品区别
4890,发西藏邮政快递不,106,买家咨询退换货支持快递,97,买家咨询是否可以指定快递
2877,有盒子包装吗？,77,买家咨询商品的材质/面料,75,买家咨询商品包装
9650,今天买大概能发货吗,32,买家对特定款式/颜色表达喜好,54,买家咨询发货时间
94,能发可以给我发中通快递吗,73,买家咨询商家发货地,97,买家咨询是否可以指定快递
9382,一斤有多少个,90,买家咨询商品重量,79,买家咨询商品规格数量
1674,500g买一送一啊,79,买家咨询商品规格数量,60,买家咨询活动规则
395,可以开电子发票不呢,65,买家咨询能否定制,67,买家咨询能否开发票及发票类型和寄送时间
2240,地址改下门号,37,买家确认地址是否修改成功,49,买家要求修改收件信息
4507,这个买一送一是怎么送啊,86,买家咨询商品是否有赠品,60,买家咨询活动规则
8047,快点发货吖,50,买家要求延迟发货,29,买家催促发货
5733,这款和209那款有什么区别,60,买家咨询活动规则,82,买家咨询商品区别
6440,买一送二,86,买家咨询商品是否有赠品,60,买家咨询活动规则
49,这俩买一送一,86,买家咨询商品是否有赠品,60,买家咨询活动规则
186,请问十一有活动吗,60,买家咨询活动规则,99,买家咨询是否有活动
