text	label	words
郎平不惧土耳其劲旅窘境：我就喜欢接这种烂摊子	7	郎平 不 惧 土耳其 劲旅 窘境 ： 我 就 喜欢 接 这种
午评沪指涨0.78%逼近2800 汽车家电农业领涨	2	午评 沪 指涨 0.78% 逼近 2800   汽车 家电 
章子怡无名指戴鸽子蛋示婚 林志玲松口要嫁(图)	9	章子怡 无名指 戴 鸽子 蛋示 婚   林志玲 松口 要 嫁
总经理妻子吞行贿花名册被侦查员从口中抠出	5	总经理 妻子 吞 行贿 花名册 被 侦查员 从 口中 抠出
组图：时尚体育模特赵雅欣全面进军娱乐圈	9	组图 ： 时尚 体育 模特 赵雅欣 全面 进军 娱乐圈
Verizon第三财季利润低于上年	4	Verizon 第三 财季 利润 低于 上年
青年驾跑车和公交车对峙引发交通堵塞	5	青年 驾 跑车 和 公交车 对峙 引发 交通堵塞
查韦斯称愿为俄罗斯提供空军基地	6	查韦斯 称愿 为 俄罗斯 提供 空军基地
《黑豹如龙新章》序盘故事&人物公布	8	《 黑豹 如龙 新章 》 序盘 故事 & 人物 公布
海淀西四环玲珑天地60-90平米1-2居享95折优惠	1	海淀 西四环 玲珑 天地 60 - 90 平米 1 - 2 
收盘：主要股指涨跌不一 盘面胶着	2	收盘 ： 主要 股指 涨跌 不 一   盘面 胶着
房山天恒乐活城多种类型房源在售特惠房直降8万	1	房山 天恒乐 活城 多种类型 房源 在售 特惠 房直 降 8
网瘾训练营暑假狂赚数百万：利润在70%以上	4	网瘾 训练营 暑假 狂 赚 数百万 ： 利润 在 70% 以
钢材期货首日：两大品种成交165亿元	0	钢材 期货 首日 ： 两大 品种 成交 165 亿元
女子寻夫14年方知丈夫已另组家庭	5	女子 寻夫 14 年 方知 丈夫 已 另组 家庭
多家网站关闭车票转让信息	4	多家 网站 关闭 车票 转让 信息
许慧欣热带小岛拍喜剧 与郭品超变同居密友(图)	9	许慧欣 热带 小岛 拍 喜剧   与 郭品 超变 同居 密友
俄罗斯通过黑海舰队驻乌克兰基地延期协议	6	俄罗斯 通过 黑海舰队 驻 乌克兰 基地 延期 协议
少女被投票赶走后身亡续没有人理解她想什么	5	少女 被 投票 赶走 后 身亡 续 没有 人 理解 她 想 
班花半夜命丧学校男厕所 高考理科冠军遭调查	5	班花 半夜 命丧 学校 男厕所   高考 理科 冠军 遭 调
桑德下周四以介绍形式上市	2	桑德下 周四 以 介绍 形式 上市
RIM股价跌至7年来新低 分析师称其陷入极度困境	4	RIM 股价 跌至 7 年来 新低   分析师 称其 陷入 
猪贩给生猪注水催肥2分钟可增15公斤	5	猪贩 给 生猪 注水 催肥 2 分钟 可增 15 公斤
男子因工作起争执撞毁同事汽车	5	男子 因 工作 起 争执 撞毁 同事 汽车
切尔西难留希丁克 未雨绸缪穆帅众望所归阿布独钟安帅	7	切尔西 难留 希丁克   未雨绸缪 穆帅 众望所归 阿布 独
《幻想-全面战争》劲爆大礼免费送	8	《 幻想 - 全面战争 》 劲 爆 大礼 免费送
统计报告称埃及人口达7522万家庭总数1790万	6	统计 报告 称 埃及 人口 达 7522 万 家庭 总数 1
快船vs火箭首发：休城旨在练兵 小德帕特森进先发	7	快船 vs 火箭 首发 ： 休城 旨在 练兵   小德 帕特
英超4强工资榜：切尔西惊人 曼联比曼城仅少百万	7	英超 4 强 工资 榜 ： 切尔西 惊人   曼联 比 曼城
期指低见22539后反弹 现报22623	2	期指 低见 22539 后 反弹   现报 22623
容祖儿曝猛料：阿Sa离婚后心情忧郁(图)	9	容祖儿 曝 猛料 ： 阿 Sa 离婚 后 心情 忧郁 ( 图
各银行信用卡挂失费迥异 北京银行收费最高	0	各 银行 信用卡 挂失 费 迥异   北京 银行 收费 最高
莫泰酒店流拍 大摩叫价或降至6亿美元	4	莫泰 酒店 流拍   大摩 叫价 或降 至 6 亿美元
乌兹别克斯坦议会立法院主席获连任	6	乌兹别克斯坦 议会 立法院 主席 获 连任
德媒披露鲁能引援关键人物 是他力荐德甲亚洲强人	7	德媒 披露 鲁能 引援 关键人物   是 他 力荐 德甲 亚
辉立证券给予广汽集团持有评级	2	辉立 证券 给予 广汽 集团 持有 评级
《小姨多鹤》捞仔做音乐 孙俪闫学晶欲开唱(图)	9	《 小姨 多鹤 》 捞 仔 做 音乐   孙俪 闫学晶 欲 
图文-业余希望赛海南站第二轮 球场的菠萝蜜	7	图文 - 业余 希望 赛 海南 站 第二轮   球场 的 菠
陆毅鲍蕾：近乎完美的爱情(组图)(2)	9	陆毅 鲍蕾 ： 近乎 完美 的 爱情 ( 组图 ) ( 2 
7000亿美元救市方案将成期市毒药	0	7000 亿美元 救 市 方案 将 成期 市 毒药
保诚启动210亿美元配股交易以融资收购AIG部门	2	保诚 启动 210 亿美元 配股 交易 以 融资 收购 AI
《兄弟》江湖哲学走偏锋 甘婷婷占档年末岁初	9	《 兄弟 》 江湖 哲学 走 偏锋   甘 婷婷 占档 年末
北京南城老故事新讲法 《龙须沟》BTV即将开播	9	北京 南城 老 故事 新 讲法   《 龙须沟 》 BTV 
4倍光学变焦镜头 索尼W350最新价1730元	4	4 倍 光学 变焦镜头   索尼 W350 最新 价 173
红十字基金会：明星捐款并非只在红十字会	9	红十字 基金会 ： 明星 捐款 并非 只 在 红十字会
化危为机 推动我国期市创新发展	0	化危 为机   推动 我国 期 市 创新 发展
大地艺术大师克里斯托夫妇	0	大地 艺术大师 克里斯托 夫妇
移动王晓云：3G需更新网络 无线才能真正互联	4	移动 王晓云 ： 3G 需 更新 网络   无线 才能 真正
海淀专家国际公馆60平米公寓均价24000元(图)	1	海淀 专家 国际 公馆 60 平米 公寓 均价 24000 
浙江玻璃取得1亿元人民币合同	2	浙江 玻璃 取得 1 亿元 人民币 合同
初二女生意外坠楼身亡 遗物发现老师暖昧短信	5	初二 女生 意外 坠楼 身亡   遗物 发现 老师 暖昧 短
加拿大男子在长途汽车上割下邻座头颅(图)	5	加拿大 男子 在 长途汽车 上割 下 邻座 头颅 ( 图 )
调查-您如何评价火箭队签约发展联盟扣篮冠军？	7	调查 - 您 如何 评价 火箭队 签约 发展 联盟 扣篮 冠
王在荣：5月10日实盘操作指导	0	王在荣 ： 5 月 10 日 实盘 操作 指导
揭秘富豪身边女保镖伪装成老板秘书或亲戚(图)	5	揭秘 富豪 身边 女保镖 伪装成 老板 秘书 或 亲戚 ( 
赵本山御用编剧：我会继续为他写(图)	9	赵本山 御用 编剧 ： 我会 继续 为 他 写 ( 图 )
小猫遭两青年从尾部点火焚烧惹众怒	5	小猫 遭 两 青年 从 尾部 点火 焚烧 惹 众怒
千余自考生参加应用技术教育最后一考	3	千余 自 考生 参加 应用 技术 教育 最后 一考
京东网上商城成中超主赞助商	4	京东 网上商城 成中 超主 赞助商
美国副总统拜登母亲去世 奥巴马可能出席葬礼	6	美国 副 总统 拜登 母亲 去世   奥巴马 可能 出席 葬
2月北美主机销量 Xbox360超越Wii	8	2 月 北美 主机 销量   Xbox360 超越 Wii
上海12580将提供免费高考查分服务	3	上海 12580 将 提供 免费 高 考查 分 服务
男子为求职街头挂牌 称公开出卖自己价格面议	5	男子 为 求职 街头 挂牌   称 公开 出卖 自己 价格 
乐嘉出书自曝恋爱屈辱史	9	乐嘉 出书 自 曝 恋爱 屈辱 史
湖北2010上半年自考网上申办毕业须知	3	湖北 2010 上半年 自考 网上 申办 毕业 须知
《哈利-波特与死亡圣器下》公布最新电视预告片	9	《 哈利 - 波特 与 死亡 圣器 下 》 公布 最新 电视
三安光电澄清公告三大悬疑待解	4	三安 光电 澄清 公告 三大 悬疑 待解
《食客》广州宣传 权五重元基俊比拼厨艺(图)	9	《 食客 》 广州 宣传   权 五重 元 基俊 比拼 厨艺
校长忏悔称赌博是其受贿犯罪开始	5	校长 忏悔 称 赌博 是 其 受贿 犯罪 开始
首破3000元 索尼32CX520液晶爆新低	4	首破 3000 元   索尼 32CX520 液晶 爆 新低
香港遭劫持货轮获释后离开索马里	6	香港 遭劫持 货轮 获释 后 离开 索马里
2011投资轻大盘重个股：兔年100只精选股	2	2011 投资 轻 大盘 重 个股 ： 兔年 100 只 精
美国高考北京考生增两成 考生不都是“尖子生”	3	美国 高考 北京 考生 增 两成   考生 不 都 是 “ 
法国允许调查别国领导人在法资产	6	法国 允许 调查 别国 领导人 在 法 资产
解析潜水艇困局决策失误=战绩跳楼 最佳变革近在眼前	7	解析 潜水艇 困局 决策 失误 = 战绩 跳楼   最佳 变
中兴今夏将开始在巴西生产平板电脑	4	中兴 今夏 将 开始 在 巴西 生产 平板 电脑
民政部长称明年将提高特殊群体供养水平	6	民政 部长 称 明年 将 提高 特殊 群体 供养 水平
通用汽车计划向美国工厂投资20亿美元	2	通用汽车 计划 向 美国 工厂 投资 20 亿美元
交银国际：本周恒指将继续平静	2	交银 国际 ： 本周 恒指 将 继续 平静
中兴通讯：3G发牌带来大商机 回升可期	2	中兴通讯 ： 3G 发牌 带来 大 商机   回升 可 期
现货清淡 郑棉失守三万关口	0	现货 清淡   郑棉 失守 三万 关口
融景城2010年中期将推2居80-90平16000起(图)	1	融景城 2010 年 中期 将 推 2 居 80 - 90 
洛克比空难制造者迈格拉希陷入昏迷濒临死亡	6	洛克比 空难 制造者 迈 格拉 希 陷入 昏迷 濒临 死亡
Google多项功能前晚集中“瘫痪”	4	Google 多项 功能 前 晚 集中 “ 瘫痪 ”
百度文库泄密上千业主个人信息 源头为售楼小姐	4	百度 文库 泄密 上千 业主 个人信息   源头 为 售楼 
亿钻珠宝料半年溢利或按年显著增长	2	亿钻 珠宝 料 半年 溢利 或 按 年 显著 增长
开盘：二季度GDP下降1% 美股低开	2	开盘 ： 二季度 GDP 下降 1%   美股 低开
教育部冬季长跑网站被指山寨 学生担心信息泄露	3	教育部 冬季 长跑 网站 被 指 山寨   学生 担心 信息
国投瑞银基金朱红裕：过渡期中未雨绸缪	0	国投 瑞银 基金 朱红 裕 ： 过渡期 中 未雨绸缪
德法首脑今议终极救赎 索罗斯警告德国快行动	2	德法 首脑 今议 终极 救赎   索罗斯 警告 德国 快 行
2009年硕士研究生考试历史试题(海天)	3	2009 年 硕士 研究生 考试 历史试题 ( 海天 )
意大利专设关押变性囚犯监狱	6	意大利 专设 关押 变性 囚犯 监狱
G联赛星际2项目代打事件的处罚公告	8	G 联赛 星际 2 项目 代 打 事件 的 处罚 公告
燕京航城形象代言人正式签约李小璐	1	燕京 航城 形象 代言人 正式 签约 李小璐
林丹：竞技体育不能太追求完美 把苏杯留住最重要	7	林丹 ： 竞技 体育 不能 太 追求 完美   把 苏杯 留
TVB主动举报案件 率先报道陈志云被捕	2	TVB 主动 举报 案件   率先 报道 陈志云 被捕
业主代表因更换电表与物业争论 遭保安打爆眼球	5	业主 代表 因 更换 电表 与 物业 争论   遭 保安 打
李玮峰捍卫亚洲顶级后卫头衔 韩国经历让硬汉显柔情	7	李玮峰 捍卫 亚洲 顶级 后卫 头衔   韩国 经历 让 硬
沪上名校开始09高考招生宣传西部行	3	沪 上 名校 开始 09 高考 招生 宣传 西部 行
前情报官指责萨科齐利用职权公报私仇	6	前 情报官 指责 萨科齐 利用职权 公报私仇
杜琪峰自称是贾樟柯影迷 惺惺相惜互戴高帽(图)	9	杜琪峰 自称 是 贾樟柯 影迷   惺惺相惜 互 戴高帽 (
倒卖虚拟财产网游大盗获刑3年	4	倒卖 虚拟 财产 网游 大盗 获刑 3 年
小调查：2010最吸睛港台娱乐事件 最关注哪个？	9	小 调查 ： 2010 最吸睛 港台 娱乐 事件   最 关
一镜走天下 尼康D300S套机带票14899元	4	一镜 走 天下   尼康 D300S 套机 带票 14899
委员：现在取消高考将是另外一个灾难	3	委员 ： 现在 取消 高考 将 是 另外 一个 灾难
6月房价持续走高 8城市一手房价格涨幅5%至8%	1	6 月 房价 持续 走高   8 城市 一手 房价格 涨幅 
高速摄影展示子弹穿物瞬间草莓击中后粉碎	4	高速 摄影 展示 子弹 穿物 瞬间 草莓 击中 后 粉碎
温州一家民间网站屡曝贪腐猛料 官方用包容原则	5	温州 一家 民间 网站 屡 曝 贪腐 猛料   官方 用 包
人民网研究院正式成立	4	人民网 研究院 正式 成立
调查显示65%美国人因经济形势拟推迟退休	6	调查 显示 65% 美国 人因 经济 形势 拟 推迟 退休
育碧：杰克逊体感游戏去世前就在开发	8	育碧 ： 杰克逊 体感 游戏 去世 前 就 在 开发
患癌硕士张鸣千篇网络日记笑对人生(图)	3	患癌 硕士 张鸣 千篇 网络日记 笑对人生 ( 图 )
男子管教亲生女儿将其抽打致死(图)	5	男子 管教 亲生女儿 将 其 抽打 致死 ( 图 )
徐静蕾：我成不了杜拉拉 不在意被叫商人	9	徐静蕾 ： 我 成不了 杜 拉拉   不在意 被叫 商人
成交活跃运作规范 钢材期货上市一周运行平稳	0	成交 活跃 运作 规范   钢材 期货 上市 一周 运行 平
印度电信业第一季度收入82.4亿美元	4	印度 电信业 第一季度 收入 82.4 亿美元
华电国际电力第三季亏损减少至亏0.91亿元	2	华电 国际 电力 第三季 亏损 减少 至亏 0.91 亿元
大学生过年带上简历烧香拜神祈工作	5	大学生 过年 带上 简历 烧香 拜神 祈 工作
3DS首发游戏评分：《任天狗+猫》最高	8	3DS 首发 游戏 评分 ： 《 任 天狗 + 猫 》 最高
千万像素5倍光变 佳能IXUS990仅2521元	4	千万 像素 5 倍 光变   佳能 IXUS990 仅 25
分拆上市概念 孕育结构性机遇	2	分拆 上市 概念   孕育 结构性 机遇
31家公司调低市场预期 外资保险进入中国不易	0	31 家 公司 调低 市场 预期   外资保险 进入 中国 
陈伟霆与李菲儿“旧爱”结缘 直言不会尴尬	9	陈伟霆 与 李菲儿 “ 旧爱 ” 结缘   直言 不会 尴尬
提前还贷潮今年未现	1	提前 还贷 潮 今年 未现
海淀西山壹号院二期3-4居户型图曝光(图)	1	海淀 西山 壹号 院 二期 3 - 4 居 户型图 曝光 (
炮制浙大女生骂教授贴文者身份曝光	5	炮制 浙大 女生 骂 教授 贴文者 身份 曝光
莫斯科一处夜总会发生火灾致1人死亡	6	莫斯科 一处 夜总会 发生 火灾 致 1 人 死亡
乌克兰前女总理季莫申科被判处7年监禁	6	乌克兰 前女 总理 季莫申科 被 判处 7 年 监禁
城管因拆广告牌与银行员工互殴引围观	5	城管 因 拆 广告牌 与 银行 员工 互殴 引 围观
入室劫杀2名女白领歹徒获死刑 两家各获赔40万	5	入室 劫杀 2 名 女白领 歹徒 获 死刑   两家 各获 
钦奇利亚宣布赢得哥斯达黎加大选(图)	6	钦奇 利亚 宣布 赢得 哥斯达黎加 大选 ( 图 )
广东证监局：将依法处理宜华地产有关问题	1	广东 证监局 ： 将 依法处理 宜华 地产 有关 问题
大奖赛首轮综述丁俊晖大胜甩包袱 火箭约战傅家俊	7	大奖赛 首轮 综述 丁俊晖 大胜 甩包袱   火箭 约战 傅
波兰斯基要求撤销诱奸案 拍纪录片披露真相(图)	9	波兰 斯基 要求 撤销 诱奸 案   拍 纪录片 披露 真相
[国储拍卖]9点50分各大库点竞卖报价一览	0	[ 国储 拍卖 ] 9 点 50 分 各 大库 点 竞卖 报
乐视网进军网页游戏与盛大等联合运营	8	乐 视网 进军 网页 游戏 与 盛大 等 联合 运营
投资经理频换背后隐忧 券商集合理财谋求新突破	0	投资 经理 频换 背后 隐忧   券商 集合 理财 谋求 新
北大资源集团总裁余丽做客两会访谈间	1	北大 资源 集团 总裁 余丽 做客 两会 访谈 间
经典的重制 传《最终幻想7》登陆PSP2	8	经典 的 重制   传 《 最终幻想 7 》 登陆 PSP2
巴基斯坦军方承认清剿塔利班行动进展缓慢	6	巴基斯坦 军方 承认 清剿 塔利班 行动 进展 缓慢
周杰伦台湾个性代言 回应吸金榜谈及谢霆锋(图)	9	周杰伦 台湾 个性 代言   回应 吸 金榜 谈及 谢霆锋 
谷歌今年秋天将推新社交网络功能	4	谷歌 今年 秋天 将 推新 社交 网络 功能
上海市中职校将创建智慧教室	3	上海市 中 职校 将 创建 智慧 教室
汽车行业：细则出台每辆最高补贴5000元	2	汽车行业 ： 细则 出台 每辆 最高 补贴 5000 元
中方主张积极创造条件早日重启六方会谈	6	中方 主张 积极 创造条件 早日 重启 六方会谈
北京考生需注意：英语考试14：45禁入场	3	北京 考生 需注意 ： 英语考试 14 ： 45 禁 入场
中国国际期货午间述评	0	中国 国际期货 午间 述评
《梦幻天劫OL》光棍节泡妞倒计时	8	《 梦幻 天劫 OL 》 光棍节 泡妞 倒计时
钢材期货推出极具战略意义	0	钢材 期货 推出 极具 战略意义
阿隆索：已准备好进攻维泰尔 但最后十圈没有到来	7	阿隆索 ： 已 准备 好 进攻 维 泰尔   但 最后 十圈
洪榕：A股处于复苏期 难有大C浪杀跌	2	洪榕 ： A股 处于 复苏 期   难有 大 C 浪 杀跌
全国各地狂建物联网产业园：预测产值越来越大	4	全国 各地 狂 建物 联网 产业园 ： 预测 产值 越来越 
白糖领跌 期货市场大面积下跌	0	白糖 领跌   期货市场 大面积 下跌
张阳沈阳盛京打造精品球场 成对外宣传城市名片	7	张阳 沈阳 盛京 打造 精品 球场   成 对外 宣传 城市
男子为筹赌资杀死废旧收购店老人后潜逃落网	5	男子 为 筹 赌资 杀死 废旧 收购 店 老人 后 潜逃 落
传林建岳力捧吴彦祖当CEO 挖陈冠希墙脚(图)	9	传 林建岳 力 捧 吴彦祖 当 CEO   挖 陈冠希 墙脚
朝阳苹果派10-70平地下室均价13000元	1	朝阳 苹果派 10 - 70 平 地下室 均价 13000 
开心星球击破底线星星商城火热促销ing	8	开心 星球 击破 底线 星星 商城 火热 促销 ing
中国国旅：海南离岛免税实施渐行渐近	2	中国 国旅 ： 海南 离岛 免税 实施 渐行 渐近
陈冠希拒谈涉事女星：她们已经受够了(组图)	9	陈冠希 拒谈 涉事 女星 ： 她们 已经 受够了 ( 组图 
大张伟“乡非门”遭围攻 被封“岔教主”求互岔	9	大张伟 “ 乡 非门 ” 遭 围攻   被 封 “ 岔 教主
2010 ChinaJoy嘉年华即将全面开幕	8	2010   ChinaJoy 嘉年华 即将 全面 开幕
《奴役：西游记》科隆电玩展宣传片	8	《 奴役 ： 西游记 》 科隆 电玩展 宣传片
明星徐静蕾现身北影担任面试官(图)	3	明星 徐静蕾 现身 北影 担任 面试官 ( 图 )
皇马剥开胜利有个不得不说问题 走了的人是否会被怀念	7	皇马 剥开 胜利 有个 不得不 说 问题   走 了 的 人
凤铝今天与队员解除合同 辽宁籍二将无奈自找下家	7	凤铝 今天 与 队员 解除合同   辽宁 籍 二 将 无奈 
两“网瘾青年”4天2次持刀抢劫的士司机	4	两 “ 网瘾 青年 ” 4 天 2 次 持刀 抢劫 的士 司
北京地铁4号线28日下午开通试运营(图)	1	北京地铁 4 号线 28 日 下午 开通 试运营 ( 图 )
上海“中高职贯通”计划招生1000名	3	上海 “ 中 高职 贯通 ” 计划 招生 1000 名
11月3日雅世精彩生活之旅首次开奖 四千余人报名	1	11 月 3 日雅世 精彩 生活 之旅 首次 开奖   四千
大唐金融：恒指收跌355.37点或1.49%	2	大唐 金融 ： 恒指 收跌 355.37 点 或 1.49%
期现价差偏高 大连豆粕或现下跌	0	期现 价差 偏高   大连 豆粕 或现 下跌
《生死线》热播导演孔笙显功力 镜头含金量十足	9	《 生死线 》 热播 导演 孔笙显 功力   镜头 含金量 
买红妹难忘孙楠？博客保留楠哥的“幸福记忆”	9	买红妹 难忘 孙楠 ？ 博客 保留 楠哥 的 “ 幸福 记忆
《明珠幻想》五天双倍经验送翻天	8	《 明珠 幻想 》 五天 双倍 经验 送 翻天
于大宝：感谢卢西亚诺的救命球 发挥不好对不起大家	7	于 大宝 ： 感谢 卢西亚诺 的 救命 球   发挥 不好 
巡防员执法中残疾车侧翻 汽油泄漏烧伤车主(图)	5	巡防 员 执法 中 残疾 车 侧翻   汽油 泄漏 烧伤 车
专家呼吁经济下滑不能降劳动合同法执行标准	6	专家 呼吁 经济 下滑 不能 降 劳动 合同法 执行 标准
女秘书称遭老板性侵害续：警方称其未及时报案	5	女秘书 称遭 老板 性 侵害 续 ： 警方 称 其 未 及时
腾讯遭遇尴尬 传研发团队遭小同行收购	8	腾讯 遭遇 尴尬   传 研发 团队 遭小 同行 收购
小伙为减压晚上化妆成女生出门 称自己绝不变性	5	小伙 为 减压 晚上 化妆 成 女生 出门   称 自己 绝
罗纳尔多评决赛：我和章鱼赢了 忆起自己的悲与喜	7	罗纳尔多 评 决赛 ： 我 和 章鱼 赢 了   忆起 自己
交银国际：九兴控股收入增长强劲	2	交银 国际 ： 九兴 控股 收入 增长 强劲
美议员鼓动美就南海争端谴责中国	6	美 议员 鼓动 美 就 南海 争端 谴责 中国
奥巴马就职5天前曾签订50万美元出书合同	6	奥巴马 就职 5 天前 曾 签订 50 万美元 出书 合同
美国艺电第三财季亏损缩小	2	美国 艺电 第三 财季 亏损 缩小
海南2011年高招本科二批文史类平行投档分数线	3	海南 2011 年 高招 本科 二批 文史类 平行 投档 分
联合国将建立专门机构并通过立法打击海盗	6	联合国 将 建立 专门机构 并 通过 立法 打击 海盗
中国内地首只中盘指数基金正式发行	0	中国 内地 首 只 中盘 指数 基金 正式 发行
上海教改设立高中创新班为何“逢高三必散伙”	3	上海 教改 设立 高中 创新 班 为何 “ 逢 高三 必 散
昌平北京四合院畅金园现房均价4000全款享98折	1	昌平 北京 四合院 畅金园 现房 均价 4000 全款 享 
张卫健夺奖张茜拍片祝贺 徐小明难忘《霍元甲》	9	张卫健 夺奖 张茜 拍片 祝贺   徐小明 难忘 《 霍元甲
鲁比尼：美国与英国经济已陷入衰退	2	鲁比 尼 ： 美国 与 英国 经济 已 陷入 衰退
老太因心脏病入院2日猝死 院方被指未及时治疗	5	老太 因 心脏病 入院 2 日 猝死   院方 被 指未 及
谷歌AdWords助力重工企业掘金海外	4	谷歌 AdWords 助力 重工 企业 掘金 海外
4人诱惑智障男子夜总会消费 逼其父母卖房还债	5	4 人 诱惑 智障 男子 夜总会 消费   逼 其 父母 卖
俄称美在罗马尼亚部署反导系统针对俄罗斯	6	俄称 美 在 罗马尼亚 部署 反导 系统 针对 俄罗斯
公私募半程冠军：拿得住股的汪� 做波段的芮�	0	公 私募 半程 冠军 ： 拿 得 住 股 的 汪 �   做
密云檀府家园125平米3居在售均价7千全款98折	1	密云 檀府 家园 125 平米 3 居在售 均价 7 千 全
昌平准现房湾流汇推出双拼及独栋别墅16500元起	1	昌平 准现房 湾流 汇 推出 双拼 及 独栋 别墅 1650
国乒公布世乒赛名单 王励勤入围单打领衔25人强阵	7	国乒 公布 世乒赛 名单   王励勤 入围 单打 领衔 25
《QQ仙侠传》熊猫快跑大改版即将登场	8	《 QQ 仙侠 传 》 熊猫 快 跑 大 改版 即将 登场
员工向女老板求爱被拒欲跳高架桥	5	员工 向 女老板 求爱 被 拒欲 跳 高架桥
雅居乐上月合同销售跌逾三成	2	雅居乐 上 月 合同 销售 跌 逾 三成
突破现状 追逐目标：北大MPA考研经验谈	3	突破现状   追逐 目标 ： 北大 MPA 考研 经验谈
港股连跌四天重挫QDII基金	0	港股 连跌 四天 重挫 QDII 基金
长航凤凰：借力打力 再创新高	2	长航 凤凰 ： 借力 打力   再创新高
2010年注册会计师经济法客观题分类练习	3	2010 年 注册 会计师 经济法 客观 题 分类 练习
日本部分遇难者遗体临时土葬 两年内将重新火葬	6	日本 部分 遇难者 遗体 临时 土葬   两年 内 将 重新
