text,label,words,y_pred
189,东盟与中日韩外长会上午在巴厘岛举行(图),6,东盟 与 中日韩 外长 会 上午 在 巴厘岛 举行 ( 图 ,6
190,南三环方庄文成建筑精装二居现房230万98折(图),1,南三环 方庄 文成 建筑 精装 二居 现房 230 万 98,1
191,“导演新人戏剧”子榜调查揭晓 王宝强得新人王,9,“ 导演 新人 戏剧 ” 子榜 调查 揭晓   王宝强 得 ,9
192,考研路上相逢勇者胜 英语词汇是关键,3,考研 路上 相逢 勇者胜   英语词汇 是 关键,3
193,上海拒载拾荒老人公交车司机已被停职,5,上海 拒载 拾荒老人 公交车 司机 已 被 停职,5
194,项目具有一定升值潜力 自住投资皆可,1,项目 具有 一定 升值 潜力   自 住 投资 皆 可,1
195,正视问题共同面对 林结鸿：消费税只是短期性问题,7,正视 问题 共同 面对   林结 鸿 ： 消费税 只是 短期,0
196,FinePix HS22EXR真的很牛,4,FinePix   HS22EXR 真的 很 牛,9
197,张震岳跨年演出唱足30首 将与卓文萱对唱(组图),9,张震岳 跨年 演出 唱足 30 首   将 与 卓文萱 对唱,9
198,女子当街发传单为母亲生日拉赞助(图),5,女子 当街 发传单 为 母亲 生日 拉赞助 ( 图 ),5
199,富国天时货币暂停大额申购,0,富国 天时 货币 暂停 大额 申购,0
200,公安部将加大对违法互联网单位处罚力度,4,公安部 将 加大 对 违法 互联网 单位 处罚 力度,4
201,调查-马刺太阳在西部半决赛相遇 您认为谁将晋级,7,调查 - 马刺 太阳 在 西部 半决赛 相遇   您 认为 ,7
202,男子为已逝父亲骨灰买票乘飞机,5,男子 为 已逝 父亲 骨灰 买票 乘飞机,5
203,科比比赛感觉像指挥乐队 拜纳姆：第6场解决战斗,7,科比 比赛 感觉 像 指挥 乐队   拜纳姆 ： 第 6 场,7
204,兔首加息利空出尽 三大点位悉数收复,2,兔首 加息 利空 出尽   三大 点位 悉数 收复,2
205,2010年海南卷高考作文：给材料作文,3,2010 年 海南 卷 高考作文 ： 给 材料 作文,3
206,朝阳北京星河湾尾房在售精装大面积4居现房(图),1,朝阳 北京 星河湾 尾房 在 售 精装 大面积 4 居 现房,1
207,男子无牌新车出事故 保险公司拒赔,5,男子 无牌 新车 出 事故   保险公司 拒赔,5
208,偏股基金净值涨幅下滑,0,偏股 基金净值 涨幅 下滑,0
209,香港四富豪身家缩水800亿 李嘉诚损失最为惨重,0,香港 四 富豪 身家 缩水 800 亿   李嘉诚 损失 最,6
210,川大开建国内首个“灾难学”学院 2011年招生,3,川大 开建 国内 首个 “ 灾难 学 ” 学院   2011,3
211,舞台上升10公尺 张惠妹恐高双腿发抖演唱中断,9,舞台 上升 10 公尺   张惠妹 恐高 双腿 发抖 演唱 ,9
212,万千百货2010年新动力校园招聘全面铺开,1,万千 百货 2010 年 新动力 校园 招聘 全面铺开,3
213,东亚去年核心资本充足率升0.4%至9.8%,2,东亚 去年 核心 资本 充足率 升 0.4% 至 9.8%,2
214,索尼 DSC-T110 3D卡片机迎中秋优惠送礼!,4,索尼   DSC - T110   3D 卡片机 迎 中秋 ,4
215,林志颖出售名下悍马车 被疑股票惨赔套现(图),0,林志颖 出售 名下 悍马车   被疑 股票 惨赔 套现 ( ,2
216,能源和矿业股提振澳股27日早盘上扬,2,能源 和 矿业 股 提振澳股 27 日 早盘 上扬,2
217,金百灵投资：静候IPO这只靴子,2,金 百灵 投资 ： 静候 IPO 这 只 靴子,2
218,留队点燃小宇宙小李不觉累 终极目标重返首发当核心,7,留队 点燃 小 宇宙 小李 不觉 累   终极目标 重返 首,7
219,组图：杭州举行万人相亲大会,5,组图 ： 杭州 举行 万人 相亲 大会,5
220,马伊�博客分享宝宝看病事项 质疑医生开药方,9,马伊 � 博客 分享 宝宝 看病 事项   质疑 医生 开药,9
221,玩宠新理念 剖析神鬼世界灵宠进化论,8,玩宠 新理念   剖析 神鬼 世界 灵宠 进化论,8
222,PTA主力移仓 期价继续维持震荡上行,0,PTA 主力 移仓   期价 继续 维持 震荡 上行,0
223,男生用999朵玫瑰向参加毕业典礼女友求婚(图),5,男生 用 999 朵玫瑰 向 参加 毕业典礼 女友 求婚 (,5
224,制冰超爽体验 各类型制冰装置冰箱推荐,4,制冰 超爽 体验   各 类型 制冰 装置 冰箱 推荐,4
225,香河大运河孔雀城叠拼别墅均价9000元享95折,1,香河 大运河 孔雀 城叠 拼 别墅 均价 9000 元享 9,1
226,福州处罚名人富人超生 一对夫妇多生一胎罚72万,5,福州 处罚 名人 富人 超生   一对 夫妇 多生 一胎 罚,9
227,俄天然气公司称3月起长期向日出口液化天然气,6,俄 天然气 公司 称 3 月 起 长期 向 日 出口 液化 ,2
228,报考指导：新政策下报高职要“三看”,3,报考 指导 ： 新 政策 下报 高职 要 “ 三看 ”,3
229,行情纠结再度收星 拉锯战中关注能否突破5日线,2,行情 纠结 再度 收星   拉锯战 中 关注 能否 突破 5,2
230,FC《战地小子：危机四伏》试玩放出,8,FC 《 战地 小子 ： 危机四伏 》 试玩 放出,8
231,密云海阔水岸花墅精装131平起别墅均价13000,1,密云 海阔 水岸 花墅 精装 131 平起 别墅 均价 13,1
232,两名楼市炒家的资金路线图：哪来这么多钱,1,两名 楼市 炒家 的 资金 路线图 ： 哪来 这么 多钱,1
233,泰国红衫军称可以接受阿披实和解路线图,6,泰国 红衫 军称 可以 接受 阿披实 和解 路线图,6
234,诸葛梓岐惊艳日本 迷倒山本耀司(图),9,诸葛 梓岐 惊艳 日本   迷倒 山本 耀司 ( 图 ),6
235,《狄仁杰》中刘嘉玲胡人造型令人捧腹(组图),9,《 狄仁杰 》 中 刘嘉玲 胡人 造型 令人捧腹 ( 组图 ,9
236,广州市2010年成人高考报名注意事项,3,广州市 2010 年 成人高考 报名 注意事项,3
